Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Bismillah Bakery,Bakeries,2.3(3 Ratings),"189 Corporation Street,  BIRMINGHAM",B4 6RG,0121 212 2700 ,bbakery.co.uk/,"https://c.yell.com/t_bigSquare,f_auto/c92466b6-aa6c-4690-bdb5-e8ca7eddf83f_image_jpeg.jpg"
Hindley & Son Ltd,Bakeries,No Rating,"Fountain Court Steelhouse Lane,  Birmingham",B4 6DR,0121 236 2886 ,,"https://c.yell.com/t_bigSquare,f_auto/176d5403-d5aa-4ece-9745-d1af21d90bd8_image_jpeg.jpg"
Cake Inspirations,Wedding Cakes,No Rating,"105 Price St,  Birmingham",B4 6JU,0121 359 2896 ,cake-inspirations.org.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Drucker's Vienna Patisserie,Bakeries,4.0(1 Rating),"100 Great Western Arcade,  Birmingham",B2 5HU,0121 236 6292 ,druckers.co.uk,"https://c.yell.com/t_bigSquare,f_auto/f708a77c-5199-4963-8c01-8e469fe9cafa_image_jpeg.jpg"
Orientee,Bakeries,No Rating,"57-58 Dale End, Eastside,  BIRMINGHAM",B4 7LS,0121 439 2522 ,orientee-group.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Miss Macaroon Retail Ltd,Bakeries,No Rating,"8 Great Western Arcade,  Birmingham",B2 5HU,0121 238 3660 ,missmacaroon.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Krispy Kreme,Bakeries,4.7(3 Ratings),"Upper Mall East Bullring,  Birmingham",B5 4BP,0121 633 9102 ,krispykreme.co.uk,"https://c.yell.com/t_bigSquare,f_auto/9e346da9-fcfc-48b7-95ff-418c9b6cc93c_image_jpeg.jpg"
Bread Collection,Bakeries,No Rating,"16A Colmore Row, Jewellery Quarter,  BIRMINGHAM",B3 2QD,,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Bread Collection,Bakeries,No Rating,"1 Great Western Arcade,  Birmingham",B2 5HU,0121 236 9979 ,breadcollection.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Paul,Bakeries,No Rating,"Stephenson Place,  BIRMINGHAM",B2 4BQ,0121 643 9085 ,paul-uk.com,"https://c.yell.com/t_bigSquare,f_auto/e04c2ed0-11d5-40a7-93bc-8ef16bfd53ec_image_jpeg.jpg"
Sixteen Kitchen/Bakery,Bakeries,No Rating,"New Street,  BIRMINGHAM",B2 4HD,,,"https://c.yell.com/t_bigSquare,f_auto/c8b79135-f65a-47e9-8664-136a3a84f08b_image_jpeg.jpg"
Patisserie Valerie,Bakeries,No Rating,"Upper Mall West, Digbeth,  BIRMINGHAM",B5 4BP,0121 643 0384 ,patisserie-valerie.co.uk,"https://c.yell.com/t_bigSquare,f_auto/c5dcb928-79c7-49c1-9f8e-36a76e4c56fc_image_jpeg.jpg"
Medicine Bakery,Bakeries,No Rating,"New Street,  BIRMINGHAM",B2 4DU,,medicinebakery.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Bakery + Gallery,Bakeries,No Rating,"New Street,  BIRMINGHAM",B2 4DU,,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Millies Cookies Ltd,Bakeries,No Rating,"Unit K7, Middle Mall Bullring Shopping Centr,  Birmingham",B5 4BE,0121 616 1624 ,milliescookies.com,"https://c.yell.com/t_bigSquare,f_auto/3111da86-7c05-42b5-b65a-a9e28ac5dc6d_image_jpeg.jpg"
Cocomacs,Bakeries,No Rating,"Stephenson Place,  BIRMINGHAM",B2 4BQ,0121 562 1895 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Laduree,Bakeries,No Rating,"Upper Dean St The Bull ring,  Birmingham",B5 4BP,07387 107116 ,laduree.co.uk/laduree-at-selfridges-birmingham.html,"https://c.yell.com/t_bigRect,f_auto/39bbe46a-77f4-46f6-b08c-695fb1a36f3e_image_png.png"
Paul,Bakeries,No Rating,"Unit 33 Grand Centre 68a, East Mews,  Birmingham",B44 9DU,0121 643 9085 ,paul-uk.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Digbeth Kitchen,Bakeries,No Rating,"67 Digbeth, Digbeth,  BIRMINGHAM",B5 6DH,0121 666 6280 ,,"https://c.yell.com/t_bigSquare,f_auto/a8e83f91-193b-4ec6-8c27-8ef87aecfb11_image_jpeg.jpg"
Wah Kee Bakery,Bakeries,No Rating,"Unit B103 The Arcadian, 70 Hurst St,  Birmingham",B5 4TD,0121 622 6162 ,wahkeebakery.co.uk,"https://c.yell.com/t_bigSquare,f_auto/ef524006-c326-4118-8ff5-580c64cc4d02_image_jpeg.jpg"
Caffe Chino,Bakeries,No Rating,"Unit B107 The Arcadian Centre, 70 Hurst St,  Birmingham",B5 4TD,0121 622 1144 ,caffechino.com,"https://c.yell.com/t_bigSquare,f_auto/c656d7d7-beff-4c69-a8e0-ec5341c36e44_image_jpeg.jpg"
Brownie Heaven,Bakeries,No Rating,"2 Broad St,  Birmingham",B1 2DS,0845 862 0866 ,brownieheaven.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
