Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Sayers Confectioners Ltd,,2.0(1 Rating),"54 Dale St,  Liverpool",L2 5ST,0151 286 5284 ,sayersthebakers.co.uk,"https://c.yell.com/t_bigSquare,f_auto/0427573d-bddb-4eeb-aae1-93d34ff06320_image_jpeg.jpg"
Pound Bakery,,No Rating,"47 Lord Street,  LIVERPOOL",L2 6PB,0151 227 3669 ,poundbakery.co.uk,"https://c.yell.com/t_bigSquare,f_auto/f246a82c-5dec-45f1-b8d0-edfea0009ae0_image_jpeg.jpg"
Sayers,,No Rating,"24 Richmond Street,  LIVERPOOL",L1 1EF,0151 708 8727 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Sayers Confectioners Ltd,,No Rating,"47 Lord St,  Liverpool",L2 6PB,0151 227 3669 ,sayersthebakers.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Sayers the Bakers Ltd,,No Rating,"17-18 Williamson Square,  Liverpool",L1 1PW,0151 707 9968 ,sayersthebakers.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Patisserie Valerie,,No Rating,"42 Lord St,  Liverpool",L2 1TA,0151 709 1119 ,patisserievalerie.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Sayers the Bakers,,No Rating,"41 Houghton Way, St. Johns Precinct,  Liverpool",L1 1LN,0151 709 8352 ,sayersthebakers.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Italian Club Bakery,,No Rating,"22 Newington,  Liverpool",L1 4ED,0151 708 6566 ,,"https://c.yell.com/t_bigSquare,f_auto/0ae77e38-63d7-4bcd-885b-183e01f5a989_image_jpeg.jpg"
Pound Bakery,,No Rating,"2 Monument Place,  LIVERPOOL",L3 8JY,,poundbakery.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Bonbon Bakery,,No Rating,"38 Berry Street, Chinatown,  LIVERPOOL",L1 4JQ,0151 384 1870 ,,"https://c.yell.com/t_bigSquare,f_auto/ff5ec86d-c140-4434-adae-65e9d50db3a2_image_jpeg.jpg"
Baxter's Bakery Co.Ltd,,No Rating,"29 Clarence St,  Liverpool",L3 5TN,0151 708 7788 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Bagelry,,No Rating,"42 Nelson St,  Liverpool",L1 5DN,0151 306 5723 ,,"https://c.yell.com/t_bigSquare,f_auto/9f1a97f7-015b-4661-a1b8-1418039dfbcd_image_jpeg.jpg"
Baltic Bakehouse,,No Rating,"46 Bridgewater Street,  LIVERPOOL",L1 0AY,0151 708 6686 ,balticbakehouse.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Greggs Bakery Outlet,,No Rating,"247-249 Breck Road, Kirkdale,  LIVERPOOL",L5 6PT,0151 260 3166 ,greggs.co.uk,"https://c.yell.com/t_bigSquare,f_auto/c40dab6e-afa5-4c69-a8b4-1b404eb14ad8_image_jpeg.jpg"
Sayers the Bakers,,No Rating,"241 Breck Rd,  Liverpool",L5 6PT,0151 281 4412 ,sayersthebakers.co.uk,"https://c.yell.com/t_bigSquare,f_auto/e39f35f4-9ae4-4970-95df-86e381c10b30_image_jpeg.jpg"
The Kensington Bread Company,,No Rating,"49 Holt Road, Edge Hill,  LIVERPOOL",L7 2PN,,,"https://c.yell.com/t_bigSquare,f_auto/2a3aa8d4-bff1-4635-b8e1-168f76599ce8_image_jpeg.jpg"
Homebaked,,No Rating,"197-199 Oakfield Rd,  Liverpool",L4 0UF,0151 261 1745 ,homebaked.org.uk,"https://c.yell.com/t_bigSquare,f_auto/18f0936b-7485-4f13-b2cc-b5894b6ddafd_image_jpeg.jpg"
