Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
PAUL Strand Kiosk,,No Rating,"11 The Strand,  London",WC2N 5HR,020 7839 5370 ,paul-uk.com/find-a-paul/french-bakery-cafe-london/strand-kiosk,"https://c.yell.com/t_bigSquare,f_auto/cacc3ffb-5107-4fa2-ad8f-bd268d7fa584_image_jpeg.jpg"
Lola's Cupcakes,,5.0(1 Rating),"Leicester Square, Charing Cross Rd,  London",WC2H 0AP,020 7734 9385 ,lolascupcakes.co.uk,"https://c.yell.com/t_bigSquare,f_auto/317957f9-4118-4db4-874a-47175f5ab3d9_image_jpeg.jpg"
Brigit's Bakery,,No Rating,"6-7 Chandos Place,  London",WC2N 4HU,020 7836 6588 ,b-bakery.com,"https://c.yell.com/t_bigSquare,f_auto/53b0579b-227d-4b84-9bfa-8cb0e838ed13_image_jpeg.jpg"
Simit Sarayi,,No Rating,"33 Villiers Street, Charing Cross,  LONDON",WC2N 6ND,020 7637 2105 ,simitsarayi.com,"https://c.yell.com/t_bigSquare,f_auto/78318de6-c1ec-415a-875c-eaa855542503_image_jpeg.jpg"
Patisserie Valerie,,4.2(6 Ratings),"44 Old Compton St,  London",W1D 4TY,020 7437 3466 ,patisserie-valerie.co.uk,"https://c.yell.com/t_bigSquare,f_auto/eb8ffc43-59f9-4b55-8220-eaf160d419ac_image_jpeg.jpg"
PAUL Strand,,No Rating,"79 The Strand,  London",WC2R 0DE,020 7240 2855 ,paul-uk.com/find-a-paul/french-bakery-cafe-london/strand,"https://c.yell.com/t_bigSquare,f_auto/2ffb3ac3-958a-4097-beb5-0a7afd1d1538_image_jpeg.jpg"
Patisserie Valerie,,No Rating,"15 Bedford St,  London",WC1B 3JA,020 7379 6428 ,patisserie-valerie.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Pan de Vie,,No Rating,"5 New Row, Charing Cross,  LONDON",WC2N 4LH,020 7836 4909 ,pandevie.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Bageriet Ltd,,No Rating,"24 Rose St,  London",WC2E 9EA,020 7240 0000 ,bageriet.co.uk,"https://c.yell.com/t_bigSquare,f_auto/94e63f3c-8064-4e67-9f07-6b6aab675bc2_image_jpeg.jpg"
Patisserie Valerie,,No Rating,"48A-50 Charing Cross Road, Leicester Square,  LONDON",WC2H 0BB,020 7242 1875 ,patisserie-valerie.co.uk,"https://c.yell.com/t_bigSquare,f_auto/ac1dd040-2073-45b0-8e66-25bb6749ec16_image_jpeg.jpg"
Sun Leun Cafe,,No Rating,"24A Newport Court, Chinatown,  LONDON",WC2H 7JS,020 7437 7468 ,,"https://c.yell.com/t_bigSquare,f_auto/b2372314-7722-4014-bb9a-20ff13d8a91f_image_jpeg.jpg"
The Pantry,,No Rating,"Covent Garden,  LONDON",WC2E 8RF,020 3657 6928 ,lepainquotidien.co.uk,"https://c.yell.com/t_bigSquare,f_auto/7bceb246-5251-4fbc-b94d-0b19ec46def0_image_jpeg.jpg"
Simit Sarayi,,No Rating,"1-2 Leicester Square, Chinatown,  LONDON",WC2H 7NA,020 7636 4636 ,simitsarayi.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Ole & Steen,,No Rating,"52 Haymarket, Haymarket,  LONDON",SW1Y 4RP,020 3828 8242 ,oleandsteen.co.uk,"https://c.yell.com/t_bigSquare,f_auto/615fdaee-5ac0-4fa1-9f77-808981755e40_image_jpeg.jpg"
PAUL Piccadilly,,5.0(1 Rating),"Piccadilly Arcade,  London",SW1Y 6NH,020 7499 8708 ,paul-uk.com,"https://c.yell.com/t_bigRect,f_auto/88b07166-e985-411d-ab1e-e95e7b21d544_image_jpeg.jpg"
Ben's Cookies,,No Rating,"13a The Piazza,  London",WC2E 8HD,020 7240 6599 ,benscookies.com,"https://c.yell.com/t_bigSquare,f_auto/1d0be071-34e8-4981-8bba-e1834ccd7c2e_image_jpeg.jpg"
Ole & Steen,,No Rating,"51 Charing Cross Road, Leicester Square,  LONDON",WC2H 0BJ,020 3772 2920 ,oleandsteen.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Le Pain Quotidien,,No Rating,"48-49 The Market,  London",WC2E 8RF,020 3657 6928 ,lepainquotidien.com/uk/en/locations/covent_garden/48-49-the-market,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Simit Sarayi,,No Rating,"55-57 Shaftesbury Avenue, Chinatown,  LONDON",W1D 6LD,020 7235 2336 ,simitsarayi.com,"https://c.yell.com/t_bigSquare,f_auto/4e530c0a-16be-4292-ba25-37546f5981a8_image_jpeg.jpg"
Just Donuts,,3.0(1 Rating),"8 Glasshouse St,  London",W1B 5DH,020 7434 9898 ,,"https://c.yell.com/t_bigSquare,f_auto/4d3821d0-9830-40f7-b67f-e89544d481ef_image_jpeg.jpg"
Peyton & Byrne Ltd,,No Rating,"44 Wellington St,  London",WC2E 7BD,020 3422 1452 ,peytonandbyrne.co.uk,"https://c.yell.com/t_bigSquare,f_auto/3429ac9f-b0b3-49a5-a57a-1fb3dd4bd6a1_image_jpeg.jpg"
Maitre Choux,,No Rating,"60 Dean St,  London",W1D 6AW,020 7734 3132 ,maitrechoux.com,"https://c.yell.com/t_bigSquare,f_auto/32c8d75e-e13d-405a-9ca7-165bd60339fd_image_jpeg.jpg"
Saint John Bakery,,No Rating,"3 Neal's Yard,  London",WC2H 9DP,020 7836 5544 ,stjohnrestaurant.com,"https://c.yell.com/t_bigSquare,f_auto/1e79168e-cc6b-406c-b6e1-a488010cf1f2_image_jpeg.jpg"
Bake Master,,No Rating,"54 Wardour St,  London",W1D 4JF,020 7193 4395 ,,"https://c.yell.com/t_bigRect,f_auto/a2262b88-b31a-458f-a6e8-3a2474dbb375_image_jpeg.jpg"
Veronika Dog Bakery Ltd,,No Rating,"35 Catherine St,  London",WC2B 5JT,07702 543005 ,veronika.bakery.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Le Pain Quotidien,,No Rating,"Festival Walk,  London",SE1 8XX,020 3657 6925 ,lepainquotidien.com/uk/en/locations/royal_festival_hall/festival-walk,"https://c.yell.com/t_bigSquare,f_auto/07587338-8d9a-45c5-861e-f3d388e39d06_image_jpeg.jpg"
Bread Ahead,,No Rating,"1 Monmouth Street, Covent Garden,  LONDON",WC2H 9DA,,breadahead.com,"https://c.yell.com/t_bigSquare,f_auto/30daf5f2-3b26-419a-9b5f-33c618cdef44_image_jpeg.jpg"
Patisserie Valerie,,4.5(2 Ratings),"162 Piccadilly,  London",W1J 9EF,020 7491 1717 ,patisserie-valerie.co.uk/cafe-piccadilly.aspx,"https://c.yell.com/t_bigSquare,f_auto/b1e825ff-256a-4306-921a-e8f333df0dca_image_jpeg.jpg"
The Hummingbird Bakery,,No Rating,"first floor, 20, Brewer St,  London",W1F 0SJ,020 7851 1770 ,hummingbirdbakery.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Lebanese Bakery,,No Rating,"34-43 Russell Street, Holborn,  LONDON",WC2B 5RH,020 3883 9033 ,thelebanesebakery.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Nordic Bakery,,No Rating,"14a Golden Square,  London",W1F 9JG,020 3230 1077 ,nordicbakery.com,"https://c.yell.com/t_bigSquare,f_auto/f0b2c1d6-4091-4ce3-bbb0-6180de1a22c2_image_jpeg.jpg"
Crosstown,,No Rating,"35 Piccadilly, Haymarket,  LONDON",W1J 0DW,020 7287 7671 ,crosstowndoughnuts.com,"https://c.yell.com/t_bigSquare,f_auto/baee5f17-6e2b-4df9-9b97-7d7ef46b1228_image_jpeg.jpg"
The Hummingbird Bakery Soho,,No Rating,"155a Wardour St,  London",W1F 8WG,020 7851 1795 ,hummingbirdbakery.com,"https://c.yell.com/t_bigSquare,f_auto/92fc3eb2-8c49-49aa-ab2e-9907ebc48be6_image_jpeg.jpg"
Le Pain Quotidien,,No Rating,"174 High Holborn,  London",WC1V 7AA,020 3657 6947 ,lepainquotidien.com/uk/en/locations/holborn/174-high-holborn,"https://c.yell.com/t_bigSquare,f_auto/bb657c5b-f332-4723-a2a3-84f7ee10a2de_image_jpeg.jpg"
GAIL's Bakery Soho,,No Rating,"128 Wardour St,  London",W1F 8ZL,020 7287 1324 ,gailsbread.co.uk/bakeries/soho/,"https://c.yell.com/t_bigSquare,f_auto/049ffd04-0388-45ac-a013-2ed10acbe9ac_image_jpeg.jpg"
Laduree,,No Rating,"71/72 Burlington Arcade,  London",W1J 0QX,020 7491 9155 ,laduree.co.uk/238927/laduree-london-burlington-arcade.html,"https://c.yell.com/t_bigRect,f_auto/fbe366cc-a4ef-4fc6-af28-ac057bf4aca9_image_png.png"
Doughnut Time,,No Rating,"78A Long Acre, Covent Garden,  LONDON",WC2E 9NG,,doughnuttime.co.uk/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
