Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Barrows Bakery,Bakeries,No Rating,"155 Church Rd,  Manchester",M41 6EA,0161 747 3252 ,barrowsbakery.co.uk,"https://c.yell.com/t_bigSquare,f_auto/191c470d-478f-4970-93d8-536f6c0da16b_image_jpeg.jpg"
Wentworth Patisserie,Bakeries,5.0(1 Rating),"3 Station Approach,  Virginia Water",GU25 4DL,01344 844210 ,wentworthpatisserie.co.uk,"https://c.yell.com/t_bigRect,f_auto/5a934fa6-0fa9-4c56-8e36-1f768a8585f0_image_png.png"
The Bakery,Bakeries,No Rating,"12 Queen St,  Bude",EX23 8BB,01288 353133 ,thebakerybude.co.uk/,"https://c.yell.com/t_bigRect,f_auto/6e721fbe-8bf1-4bd9-9347-71a8d58b346a_image_png.png"
Crusty Corner Bakery,Bakeries,5.0(1 Rating),"38 Bell Rd,  Norwich",NR3 4RA,01603 404997 ,crustycornerbakery.co.uk/,"https://c.yell.com/t_bigRect,f_auto/739b8ab3-b250-4d50-a684-269d92665d7e_image_jpeg.jpg"
Well Bread Bakers,Bakeries,No Rating,"39 Market Place,  Swaffham",PE37 7LA,01760 722707 ,wellbreadbakers.co.uk/,"https://c.yell.com/t_bigSquare,f_auto/9ab7ac8a-4acc-4221-b9bd-664c8c862017_image_jpeg.jpg"
Acorns Bakery,Bakeries,5.0(5 Ratings),"16 Bettws Shopping Centre,  Newport",NP20 7TN,01633 855905 ,acornsbakery.co.uk,"https://c.yell.com/t_bigRect,f_auto/0b2a91ee-fde1-43e3-83f1-318d3487007e_image_png.png"
Hurst's Bakery,Bakeries,4.7(3 Ratings),"16-18 Upton Rd, Claughton Village,  Birkenhead",CH41 0DF,0151 650 0835 ,hurstsbakery.co.uk,"https://c.yell.com/t_bigRect,f_auto/e2fee6be-b837-41e0-96b3-f3f09a046333_image_jpeg.jpg"
Cakes by Mary (Long Barn Bakery),Wedding Cakes,5.0(7 Ratings), ,,07709 096490 ,cakesbymary.co.uk,"https://c.yell.com/t_bigRect,f_auto/e508cbd0-87e7-4dd9-8432-de829e6e5dea_image_png.png"
Sky Bakery Ltd,Bakeries,5.0(4 Ratings),"57 Skylines Village Limeharbour,  London",E14 9TS,020 3581 7606 ,skybakery.co.uk,"https://c.yell.com/t_bigRect,f_auto/9c1cef3e-4798-4a46-b857-20f99771a20d_image_jpeg.jpg"
Thompson's Bakery,Caterers,5.0(17 Ratings),"164-165 Main St,  Frizington",CA26 3SB,01946 810572 ,thompsonhomebakery.co.uk/,"https://c.yell.com/t_bigRect,f_auto/e00fbdff-c6ec-4066-96e3-b3680989480f_image_jpeg.jpg"
The Honeybee Bakery,Wedding Cakes,5.0(2 Ratings),"48 Station Rd,  Glasgow",G62 8AB,0141 611 1682 ,thehoneybeebakery.co.uk/,"https://c.yell.com/t_bigRect,f_auto/df7c2960-f2bc-40bc-b630-062740f45703_image_jpeg.jpg"
Because We'Re Not All Blonde Bakery,Bakeries,5.0(5 Ratings),"90 Maltravers Crescent,  Sheffield",S2 5BZ,07984 023859 ,facebook.com/bwnablonde,"https://c.yell.com/t_bigRect,f_auto/dc25b662-f5a5-4072-ab3a-3c232d13a895_image_jpeg.jpg"
Flour and Spoon - Artisan Bakery & Cafe,Bakeries,5.0(4 Ratings),"16 Rectory Grove,  Leigh-On-Sea",SS9 2HE,07545 594617 ,flourandspoon.com,"https://c.yell.com/t_bigRect,f_auto/aca820ec-ef12-4917-8caf-8b76daf8c11d_image_jpeg.jpg"
bak'Dcake,Bakeries,5.0(7 Ratings),"18 All Saints Rd,  Lytham St. Annes",FY8 1PL,07919 075397 ,bakdcake.com,"https://c.yell.com/t_bigRect,f_auto/33fe3afb-6be0-4f5d-99b7-e43d2e0e679c_image_jpeg.jpg"
Debelicious Cakes,Wedding Cakes,5.0(8 Ratings),"9 Hickathrift Field,  Wisbech",PE14 8EX,07732 022017/01945 661089,debeliciouscakes.co.uk,"https://c.yell.com/t_bigRect,f_auto/5aa29516-ec35-4a07-9c66-15f280de38a5_image_jpeg.jpg"
Buns of Fun Bakery,Wedding Cakes,5.0(5 Ratings),"57 Beech Avenue,  Sheringham",NR26 8NS,07932 874576 ,bunsoffun.co.uk/,"https://c.yell.com/t_bigRect,f_auto/e703635e-adb3-43f9-bdd2-fe6ca1e712e8_image_jpeg.jpg"
Marshalls Bakery,Bakeries,4.0(4 Ratings),"31 Crown St,  Hebden Bridge",HX7 8EH,01422 842481 ,marshalls-bakery.co.uk,"https://c.yell.com/t_bigRect,f_auto/40131db0-e243-4fd0-a0a4-03195ce518a4_image_png.png"
Eclair Cake,Bakeries,5.0(8 Ratings),"Flat 2 Pandorea House 35, Lismore Boulevard,  London",NW9 4DL,07472 638001 ,eclaircake.co.uk,"https://c.yell.com/t_bigRect,f_auto/b6c8a855-6a82-4ad4-9237-582f60f30c70_image_png.png"
Homemade by Linda,Cake Makers and Decorations,5.0(13 Ratings),"3 Lovelace Crescent,  Leicester",LE9 7SL,07800 801124 ,homemadebylinda.co.uk,"https://c.yell.com/t_bigRect,f_auto/40a32123-b2f7-49f4-9e2d-fd5c6e73eee7_image_jpeg.jpg"
Cake My Day,Bakeries,5.0(4 Ratings),"39 Ashdown Drive,  Nuneaton",CV10 7HJ,07490 126320 ,facebook.com/cakemydaynuneaton,"https://c.yell.com/t_bigRect,f_auto/6acab755-9e15-4608-95cd-1a4357c1f5a6_image_jpeg.jpg"
Sticky & Sweet Cupcake Co.Ltd,Bakeries,5.0(7 Ratings),"26 Swiss Avenue,  Chelmsford",CM1 2AD,07539 286630 ,stickyandsweetcupcake.co.uk,"https://c.yell.com/t_bigRect,f_auto/6b3bae63-06a9-4ad1-bb4f-b41dad1d8bef_image_jpeg.jpg"
U-Bake Ltd,Bakeries,5.0(1 Rating),"Skeoge Ind Est Beraghmore Rd,  Londonderry",BT48 8SE,028 7135 7617 ,u-bake.com,"https://c.yell.com/t_bigSquare,f_auto/b0defc2a-3b9d-46c9-bb4f-5f19ad90a922_image_jpeg.jpg"
Wellbread Bakery,Bakeries,5.0(4 Ratings),"16 High St,  Renfrew",PA4 8QR,0141 886 1255 ,,"https://c.yell.com/t_bigSquare,f_auto/24ea0973-8fe8-4f0c-aec3-43f23954e67f_image_jpeg.jpg"
Moss Bakery,Bakeries,4.0(4 Ratings),"104 Lumley Road,  SKEGNESS",PE25 3ND,,,"https://c.yell.com/t_bigSquare,f_auto/c4654029-63e0-4cdb-98ae-49bd7c6addc5_image_jpeg.jpg"
Milbury Meats,Bakeries,5.0(2 Ratings),"53 Watchouse Rd,  Chelmsford",CM2 8PU,01245 353435 ,milburymeats.co.uk/,"https://c.yell.com/t_bigRect,f_auto/c42c6b74-91c5-494c-9951-0be45798c6fa_image_jpeg.jpg"
Celtic Cakes Studio,Wedding Cakes,4.7(15 Ratings),"73 Blaen Y Pant Crescent,  Newport",NP20 5PX,01633 662684 ,celticcakes.com/,"https://c.yell.com/t_bigSquare,f_auto/9e858d96-80c1-4193-9e81-fde9f45bdb23_image_jpeg.jpg"
Creative Cakes,Cake Makers and Decorations,5.0(4 Ratings),"379 Clarkston Rd,  Glasgow",G44 3JG,0141 633 0392 ,,"https://c.yell.com/t_bigSquare,f_auto/f7457b3c-7ce8-407f-a65d-4492abd3cef4_image_jpeg.jpg"
Villa Home & Continental Bakery,Bakeries,4.2(5 Ratings),"822 Dumbarton Rd,  Clydebank",G81 4BS,0141 941 2077 ,villabakery.co.uk,"https://c.yell.com/t_bigRect,f_auto/ae016a97-30d0-47b6-9f74-13c96026780b_image_jpeg.jpg"
Cakes by BabyBelles,Wedding Cakes,4.9(11 Ratings), ,,07947 595995 ,cakesbybabybelles.co.uk,"https://c.yell.com/t_bigSquare,f_auto/3c82a2a2-0ecf-4b02-9606-87af741d064d_image_png.png"
Sweet Sugar,Bakeries,5.0(22 Ratings),"240 City Road, Plasnewydd,  CARDIFF",CF24 3JJ,,,"https://c.yell.com/t_bigSquare,f_auto/fed6ef3b-d590-4bda-8fa5-18e7f99cb97e_image_jpeg.jpg"
Only Eggless,Bakeries,5.0(7 Ratings),"400 Kenton Road, Kenton,  HARROW",HA3 9DW,020 8204 3735 ,onlyeggless.com,"https://c.yell.com/t_bigSquare,f_auto/4bf201d4-86cb-4e53-8b75-e59abf238435_image_jpeg.jpg"
V & V Bagels & Pastries,Bakeries,5.0(7 Ratings),"143 High St,  Ilford",IG6 2AJ,020 8551 0888 ,,"https://c.yell.com/t_bigRect,f_auto/bc2e3d0b-c5b2-4d09-8bd4-c03175720c83_image_png.png"
Claudios Patisserie,Bakeries,5.0(5 Ratings),"76 Stockport Rd,  Stockport",SK6 6AH,0161 427 5213 ,,"https://c.yell.com/t_bigSquare,f_auto/9ab73a04-8062-4b17-8f6c-03f9982cdb7c_image_jpeg.jpg"
J.L.R Baked Kreations,Bakeries,5.0(4 Ratings),"34 South St,  Kettering",NN14 1HP,07584 073611 ,jlrbakedkreation.co.uk,"https://c.yell.com/t_bigRect,f_auto/c807b33f-9783-45d0-8ea0-4b8af99a75de_image_jpeg.jpg"
Electric Bakery,Bakeries,4.3(3 Ratings),"4-8 Kyle St,  Prestwick",KA9 1PQ,01292 477615 ,,"https://c.yell.com/t_bigSquare,f_auto/563be49d-0770-4402-9854-9fc84386a718_image_jpeg.jpg"
J & J Southern,Bakeries,5.0(2 Ratings),"5 High St,  Sleaford",NG34 9DY,01526 832304 ,,"https://c.yell.com/t_bigSquare,f_auto/99133d98-995f-4aa3-b30d-04c7bdb52d2e_image_jpeg.jpg"
Warings Master Bakers Ltd,Bakeries,4.3(3 Ratings), ,,0118 941 4511 ,waringsbakery.co.uk,"https://c.yell.com/t_bigRect,f_auto/c9e2ee04-32c8-499f-88d7-640cba6c5d22_image_jpeg.jpg"
Bakery,Bakeries,5.0(1 Rating),"223 Hill Lane,  Manchester",M9 6RG,07731 023506 ,,"https://c.yell.com/t_bigSquare,f_auto/c5313e2d-c2a1-4b51-a3d2-3895a3ee7773_image_jpeg.jpg"
Jasper's Bakery,Bakeries,4.6(9 Ratings),"28 High St,  Newport",TF10 8JR,01952 820724 ,,"https://c.yell.com/t_bigSquare,f_auto/6ec53c59-b37a-40e1-882e-c959b4423ebc_image_jpeg.jpg"
Johnson's Bakery,Bakeries,4.2(5 Ratings),"84 Colwick Rd,  Nottingham",NG2 4DE,0115 950 4194 ,,"https://c.yell.com/t_bigSquare,f_auto/5c7559e3-0b4b-414d-9892-0b0595008603_image_jpeg.jpg"
ALG Bakery,Bakeries,4.0(4 Ratings),"23 London Road,  NEWARK",NG24 1TN,07894 815980 ,,"https://c.yell.com/t_bigSquare,f_auto/07025263-f495-4a09-aad0-823af5816172_image_jpeg.jpg"
The Village Bakery,Bakeries,4.0(4 Ratings),"Unit 10 Town Square,  Leicester",LE7 1GZ,0116 264 0326 ,,"https://c.yell.com/t_bigSquare,f_auto/20d81532-f66c-4692-b0e5-eb882eafb6ed_image_jpeg.jpg"
Carmelli Bakery,Bakeries,4.2(4 Ratings),"128 Golders Green Rd,  London",NW11 8HB,020 8455 3063 ,carmelli.co.uk,"https://c.yell.com/t_bigSquare,f_auto/a4e1d0f1-73d2-46ed-9eee-877958a18543_image_jpeg.jpg"
Glenton's Bakery Ltd,Bakeries,4.0(4 Ratings),"108-110 Front St,  Newbiggin-By-The-Sea",NE64 6AA,01670 817553 ,,"https://c.yell.com/t_bigSquare,f_auto/b8e6bff8-1023-4be9-9e80-2b66006bfd73_image_jpeg.jpg"
Buttersugarcake,Wedding Cakes,5.0(30 Ratings),"1 Flanders Court,  Chester-Le-Street",DH3 1LD,07903 835248 ,buttersugarcake.com/,"https://c.yell.com/t_bigRect,f_auto/66c662f2-ccab-4a68-b265-c06fc33f64a6_image_jpeg.jpg"
Creative Cakes by S & S,Wedding Cakes,5.0(6 Ratings),"34 Chapel St,  Thatcham",RG18 4QL,01635 868933 ,creativecakesbysands.co.uk/about.htm,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Parsons Bakery,Bakeries,5.0(1 Rating),"134 St. Michaels Hill,  Bristol",BS2 8HD,0117 933 0919 ,parsonsbakery.co.uk,"https://c.yell.com/t_bigSquare,f_auto/f2e1694c-8a45-4a98-8614-d0b76927bda1_image_jpeg.jpg"
Parsons Bakery,Bakeries,5.0(1 Rating),"9 Nelson Street,  CHEPSTOW",NP16 5EU,01291 645713 ,parsonsbakery.co.uk,"https://c.yell.com/t_bigSquare,f_auto/9455f7be-d1e3-4bab-9def-15aaf59eceb0_image_jpeg.jpg"
Parsons Bakery,Bakeries,5.0(1 Rating),"1 Broad Street,  ROSS-ON-WYE",HR9 7DZ,01989 769750 ,parsonsbakery.co.uk,"https://c.yell.com/t_bigSquare,f_auto/c722bc6f-7bce-4706-b125-03c342cf17fc_image_jpeg.jpg"
Marshall's The Bakers,Bakeries,4.8(4 Ratings),"32 Avondale Avenue,  Houghton Le Spring",DH4 7QS,0191 512 1550 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Bumblebee Bakery 1,Bakeries,5.0(2 Ratings),"White Rose Information & Resource C, Cross St,  New Tredegar",NP24 6EF,07518 066455 ,,"https://c.yell.com/t_bigSquare,f_auto/7aef3b2b-b8e7-4f7a-b377-43aacf8ab8de_image_jpeg.jpg"
PAUL Charterhouse,Bakeries,5.0(1 Rating),"87 Charterhouse St,  London",EC1M 6HJ,020 7253 8573 ,paul-uk.com,"https://c.yell.com/t_bigRect,f_auto/1873d4fd-d2f9-4d18-8683-488569a73aed_image_jpeg.jpg"
