Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Theatrix Birmingham (Sponsored),Bars and Wine Bars,5.0(1 Rating),"130 Colmore Row,  Birmingham",B3 3AP,07970 268959 ,,"https://c.yell.com/t_bigRect,f_auto/b883fccb-5d0b-4745-92ec-ac22929a4b73_image_png.png"
JM Cocktail Events (Sponsored),Mobile Bars,No Rating, ,,07827 634417 ,jm-cocktails.co.uk/,"https://c.yell.com/t_bigRect,f_auto/ab0bc36d-fb74-4da5-a7aa-ed9e465ad7af_image_jpeg.jpg"
The Jacket Inn Baked Potato Co (Sponsored),Mobile Bars,5.0(1 Rating), ,,07793 084207 ,mobilebarhirecompany.co.uk/,"https://c.yell.com/t_bigRect,f_auto/5f9f1eb1-8de1-4eae-b9cf-6d841bd8a88c_image_jpeg.jpg"
The Gosta Green,Pubs,4.3(3 Ratings),"Holt St,  Birmingham",B7 4BG,0121 359 0044 ,pubswithmore.co.uk/thegostagreenbirmingham/,"https://c.yell.com/t_bigSquare,f_auto/de9a3163-e5b3-4a50-ae7f-b51960e4376a_image_jpeg.jpg"
Apache's,Bars and Wine Bars,No Rating,"192 Corporation Street,  BIRMINGHAM",B4 6QD,,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Theatrix Birmingham,Bars and Wine Bars,5.0(1 Rating),"130 Colmore Row,  Birmingham",B3 3AP,07970 268959 ,theatrixbirmingham.co.uk/,"https://c.yell.com/t_bigRect,f_auto/b883fccb-5d0b-4745-92ec-ac22929a4b73_image_png.png"
The Gunmakers Arms,Bars and Wine Bars,No Rating,"93 Bath Street,  BIRMINGHAM",B4 6HG,0121 236 1201 ,,"https://c.yell.com/t_bigSquare,f_auto/6ef5164f-ddbf-424b-b8f6-1db1a041a8a5_image_jpeg.jpg"
The Jekyll & Hyde,Pubs,No Rating,"28 Steelhouse Lane,  Birmingham",B4 6BJ,0121 236 0345 ,thejekyllandhyde.co.uk,"https://c.yell.com/t_bigSquare,f_auto/af98a8de-5a4a-4912-b438-1e11b524c4c8_image_jpeg.jpg"
The Lounge & Conservatory,Bars and Wine Bars,No Rating,"St Chads Queensway,  BIRMINGHAM",B4 6HY,0121 236 6211 ,thistlehotels.com,"https://c.yell.com/t_bigSquare,f_auto/b35754d4-7f0a-4118-aeaa-cecc10d46e37_image_jpeg.jpg"
Bar Opus,Bars and Wine Bars,No Rating,"One Snowhill Snow Hill Queensway,  Birmingham",B4 6GH,0121 289 3939 ,baropus.co.uk,"https://c.yell.com/t_bigSquare,f_auto/95ae1b0d-3717-4893-b13d-8b95e277025a_image_jpeg.jpg"
The Hammer & The Anvil,Bars and Wine Bars,No Rating,"27 The Priory Queensway, Eastside,  BIRMINGHAM",B4 7LL,,,"https://c.yell.com/t_bigSquare,f_auto/2d5bb6ad-8b1b-4030-9bfe-0c5ffeb263bf_image_jpeg.jpg"
The Trocadero,Pubs,4.1(8 Ratings),"Temple St,  Birmingham",B2 5BG,0121 643 6107 ,thetrocaderobirmingham.co.uk,"https://c.yell.com/t_bigSquare,f_auto/abcfea76-2317-404c-af08-69a3f9052d66_image_jpeg.jpg"
The Jam House,Speciality Restaurants,3.8(6 Ratings),"3-5 St Pauls Square,  Birmingham",B3 1QU,0121 200 3030 ,thejamhouse.com,"https://c.yell.com/t_bigSquare,f_auto/b8c0f801-8505-4459-b7fe-5d79aed1b2f9_image_jpeg.jpg"
Bar Utopia,Pub Restaurants,4.5(2 Ratings),"16 Church St,  Birmingham",B3 2NP,0121 233 3666 ,bar-utopia.co.uk,"https://c.yell.com/t_bigSquare,f_auto/757b1791-84c4-4c0d-be7e-4557445485e0_image_jpeg.jpg"
Hen & Chicken Bar & Grill,Pub Restaurants,4.0(1 Rating),"27 Constitution Hill,  Birmingham",B19 3LE,0121 236 3121 ,henandchicken.co.uk,"https://c.yell.com/t_bigSquare,f_auto/b171fe33-97d4-460f-9657-572582ca77d0_image_jpeg.jpg"
Andersons Bar & Grill,Steakhouse Restaurants,5.0(1 Rating),"30 Mary Ann St,  Birmingham",B3 1RL,0121 200 2515 ,andersonsbarandgrill.co.uk,"https://c.yell.com/t_bigSquare,f_auto/15f62d05-b11e-4de4-9810-494dbc45d738_image_jpeg.jpg"
Purnell's Bistro & Ginger's Bar,Bars and Wine Bars,5.0(2 Ratings),"Newater House, 11, Newhall St,  Birmingham",B3 3NY,0121 200 1588 ,purnellsbistro-gingers.com,"https://c.yell.com/t_bigSquare,f_auto/6b0929e3-59ef-4876-8734-eeb5e097ca02_image_jpeg.jpg"
