Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Pizza Express,Pizzerias,4.2(5 Ratings),"11/13 Victoria St,  Liverpool",L2 5QQ,0151 236 4987 ,pizzaexpress.com/liverpool-victoria-street,"https://c.yell.com/t_bigRect,f_auto/4ffad89a-140b-43e9-aead-40c4bb88e49b_image_png.png"
The James Munro,Bars and Wine Bars,No Rating,"69 Tithebarn Street,  LIVERPOOL",L2 2EN,,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Dead Crafty Beer Company,Pubs,5.0(1 Rating),"92 Dale St,  Liverpool",L2 5TF,07977 228918 ,deadcraftybeercompany.com,"https://c.yell.com/t_bigSquare,f_auto/1acbb4ca-1db7-4298-a61e-e66c89207953_image_jpeg.jpg"
Lost Bar & Club,Night Clubs,5.0(1 Rating),"5-7 Fazakerley St,  Chorley",PR7 1BG,07902 546043 ,facebook.com/lostbarandclub,"https://c.yell.com/t_bigSquare,f_auto/14291122-0402-4fd1-bad2-be9c575bac5e_image_jpeg.jpg"
Cross Keys,Bars and Wine Bars,No Rating,"13 Earle Street,  LIVERPOOL",L3 9NS,0151 236 4819 ,,"https://c.yell.com/t_bigSquare,f_auto/8e41337d-b525-4114-9b30-ff64c6d8dc53_image_jpeg.jpg"
Thyme,Speciality Restaurants,No Rating,"Vernon Street,  LIVERPOOL",L2 2AY,0871 527 8624 ,premierinn.com,"https://c.yell.com/t_bigSquare,f_auto/2e292203-904f-4f62-afb6-c5065ccf2785_image_jpeg.jpg"
La Tasca Liverpool,Spanish Restaurants,4.0(4 Ratings),"4 Queen Square,  Liverpool",L1 1RH,0151 709 7999 ,latasca.com/venue/liverpool/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Ameriesko,Bars and Wine Bars,No Rating,"3B Hatton Garden,  LIVERPOOL",L3 2AN,0151 236 6799 ,,"https://c.yell.com/t_bigSquare,f_auto/051971f0-b207-4afa-b365-9b31509b3e3c_image_jpeg.jpg"
Hus,Bars and Wine Bars,No Rating,"12 Tithebarn Street,  LIVERPOOL",L2 2DT,,,"https://c.yell.com/t_bigSquare,f_auto/46cafaae-e34d-45db-b77c-1361726d0e2b_image_jpeg.jpg"
Olive Restaurant,Italian Restaurants,5.0(1 Rating),"25-27 Castle St,  Liverpool",L2 4TA,0151 227 2242 ,olivepresspizzeria.co.uk,"https://c.yell.com/t_bigSquare,f_auto/17c890da-3069-47f7-9702-402aaeb1760b_image_jpeg.jpg"
City Wine Bar,Bars and Wine Bars,No Rating,"21 Old Hall St,  Liverpool",L3 9BS,0151 227 5533 ,citywinebar.net,"https://c.yell.com/t_bigSquare,f_auto/93076d8c-1de6-4db0-bc0f-ea03dc89709c_image_jpeg.jpg"
The Masquerade Bar,Bars and Wine Bars,No Rating,"10 Cumberland Street,  LIVERPOOL",L1 6BU,0151 236 7786 ,masqueradeliverpool.com/,"https://c.yell.com/t_bigSquare,f_auto/4d88d02a-e6ee-486e-b161-81d0dc2366e9_image_jpeg.jpg"
Vernon Arms,Bars and Wine Bars,No Rating,"69 Dale Street,  LIVERPOOL",L2 2HJ,0151 236 6132 ,vernonarms.co.uk,"https://c.yell.com/t_bigSquare,f_auto/e05f59fd-a2b5-479c-a8d4-fa5bde2006db_image_jpeg.jpg"
G Bar,Night Clubs,No Rating,"1-7 Eberle St,  Liverpool",L2 2AG,0151 236 4416 ,g-bar.com,"https://c.yell.com/t_bigSquare,f_auto/49aab930-382e-4ce3-a816-b740a3e4d597_image_jpeg.jpg"
