Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Liquid Mobile Bar (Sponsored),Mobile Bars,No Rating,Haynes Bedford,,07990 035566 ,liquidmobilebar.com,"https://c.yell.com/t_bigRect,f_auto/584cee7f-485f-4e4b-af7c-da3dd29468f3_image_png.png"
Karma Beverages (Sponsored),Mobile Bars,5.0(9 Ratings), ,,07957 626011 ,karma-beverages.co.uk,"https://c.yell.com/t_bigRect,f_auto/0cac9719-25a5-415b-9850-7c902594c499_image_jpeg.jpg"
Cocktailmaker (Sponsored),Mobile Bars,4.8(26 Ratings),Ley Hill Chesham,,02035 973896 ,cocktailmaker.co.uk,"https://c.yell.com/t_bigRect,f_auto/bd48d9d9-d681-4f43-a2c4-f808d1c5dcb0_image_jpeg.jpg"
Market House (Sponsored),Night Clubs,No Rating,"433-445 Coldharbour Lane,  London",SW9 8LN,020 7095 9443 ,market-house.co.uk,"https://c.yell.com/t_bigRect,f_auto/435290d6-ea1e-45da-adf5-5595bb320204_image_jpeg.jpg"
Make It Happen Cocktail Catering (Sponsored),Cocktail Bars,No Rating,"32 Merchant St,  London",E3 4LX,07865 660599 ,mihcocktailcatering.com,"https://c.yell.com/t_bigRect,f_auto/70b3a52d-d677-4d92-94d1-d03491cd0048_image_jpeg.jpg"
Make It Happen Cocktail Catering,Cocktail Bars,No Rating,"32 Merchant St,  London",E3 4LX,07865 660599 ,mihcocktailcatering.com/,"https://c.yell.com/t_bigRect,f_auto/70b3a52d-d677-4d92-94d1-d03491cd0048_image_jpeg.jpg"
Raising the Bar,Mobile Bars,No Rating,"464 Watford Way,  London",NW7 2QH,07962 353030 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Soho Gourmet Ltd,Caterers,5.0(1 Rating),Chipperfield Kings Langley,,07917 822227 ,,"https://c.yell.com/t_bigSquare,f_auto/5ae9cbd2-279f-4377-8767-6607969ff512_image_jpeg.jpg"
Waxy O'connor's,Pubs,4.1(14 Ratings),"14-16 Rupert St,  London",W1D 6DD,020 3959 7639/020 3959 7180,waxyoconnors.co.uk/london,"https://c.yell.com/t_bigRect,f_auto/b6d1a229-6fd1-420c-b7ab-bbaae7c50984_image_jpeg.jpg"
Essex House,Pubs,No Rating,"29-31 Essex Rd,  London",E8 1NG,07766 759703 ,,"https://c.yell.com/t_bigSquare,f_auto/2d484689-4765-464b-802e-07768f09c978_image_jpeg.jpg"
Ridgeway Catering Co,Caterers,4.9(27 Ratings),"39 College Gardens,  London",E4 7LN,020 8529 6178 ,ridgewaycateringcompany.co.uk,"https://c.yell.com/t_bigRect,f_auto/55089f94-dea4-4b2b-90b6-d077380dda46_image_jpeg.jpg"
Vicarage Marquees Ltd,Marquee and Tent Hire,3.8(16 Ratings), Hockley,,01702 232200 ,vicaragemarquees.co.uk,"https://c.yell.com/t_bigRect,f_auto/57810d3a-4068-48b2-b3f0-b65516d06d94_image_jpeg.jpg"
SAMA Bankside,Bars and Wine Bars,No Rating,"3 Robinson Rd,  London",SE1 8BU,020 3904 6760 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Mannys Marquees Ltd,Marquee and Tent Hire,5.0(34 Ratings), Ilford,,07976 292948 ,mannysmarquees.co.uk/,"https://c.yell.com/t_bigRect,f_auto/5d1f5244-1e58-46fe-a363-caf90685eab3_image_jpeg.jpg"
Gordon's Wine Bar,Bars and Wine Bars,4.3(40 Ratings),"47 Villiers St,  London",WC2N 6NE,020 7930 1408 ,gordonswinebar.com,"https://c.yell.com/t_bigSquare,f_auto/0a5c5a28-25f0-40cb-b551-7adbf0ca3055_image_jpeg.jpg"
Champagne Charlies,Bars and Wine Bars,4.0(2 Ratings),"17 The Arches Villiers St,  London",WC2N 6NG,020 7930 7737 ,davy.co.uk,"https://c.yell.com/t_bigSquare,f_auto/a0cbfcee-a82d-4dfc-a054-0ca7e9f6a2d6_image_jpeg.jpg"
Pizza Express,Pizzerias,3.0(2 Ratings),"450 Strand,  London",WC2R 0RG,020 7930 8205 ,pizzaexpress.com/the-strand-trafalgar-square,"https://c.yell.com/t_bigRect,f_auto/8e7294fc-41f0-4e19-a492-ad80f0790406_image_png.png"
Dalla Terra Wine Bar & Restaurant,Bars and Wine Bars,4.8(5 Ratings),"25 Slingsby Place,  London",WC2E 9AB,020 7240 8811 ,dallaterra.co.uk,"https://c.yell.com/t_bigRect,f_auto/d24510de-e6ac-4327-ba35-6adcbde6d201_image_jpeg.jpg"
Retro Bar,Night Clubs,4.0(1 Rating),"2 George Court,  London",WC2N 6HH,020 7839 8760 ,retrobarlondon.co.uk/london/,"https://c.yell.com/t_bigSquare,f_auto/f5a6daca-c90e-40a6-ae65-4599d0876d31_image_jpeg.jpg"
Cork & Bottle,Bars and Wine Bars,4.5(6 Ratings),"44-46 Cranbourn St,  London",WC2H 7AN,020 7734 7807 ,thecorkandbottle.co.uk,"https://c.yell.com/t_bigSquare,f_auto/8113f263-5c3a-46c0-9cf6-1a6e86ef303e_image_jpeg.jpg"
"The Admiralty, Trafalgar Square",Pubs,4.5(2 Ratings),"66 Trafalgar Square,  London",WC2N 5DS,020 7930 0066 ,admiraltytrafalgar.co.uk/,"https://c.yell.com/t_bigSquare,f_auto/4b494505-ce2b-40d7-a3df-f839b23683f4_image_jpeg.jpg"
The Porterhouse,Pubs,3.8(19 Ratings),"21-22 Maiden Lane,  London",WC2E 7NA,020 7379 7917 ,porterhousebrewco.com,"https://c.yell.com/t_bigSquare,f_auto/a6921748-f3b0-4c77-9f94-b86e397fdb73_image_jpeg.jpg"
Halfway To Heaven,Night Clubs,No Rating,"7 Duncannon St,  London",WC2N 4JF,020 7484 0736 ,halfway2heaven.net/london/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
All Bar One Charing Cross,Bars and Wine Bars,2.0(2 Ratings),"6 Villiers St,  London",WC2N 6NQ,020 7839 9239 ,allbarone.co.uk/national-search/london/all-bar-one-villiers-street,"https://c.yell.com/t_bigSquare,f_auto/94140468-2bf9-4783-b4bf-a473c19e238b_image_jpeg.jpg"
Barrafina,Spanish Restaurants,No Rating,"10 Adelaide Street, Charing Cross,  LONDON",WC2N 4HZ,020 7440 1450 ,barrafina.co.uk/,"https://c.yell.com/t_bigSquare,f_auto/18469545-85d4-4329-a037-3ea9bc8ba283_image_jpeg.jpg"
Essex House (Sponsored),Bars and Wine Bars,No Rating,"29-31 Essex Rd,  London",N1 2SA,07766 759703 ,,"https://c.yell.com/t_bigSquare,f_auto/2d484689-4765-464b-802e-07768f09c978_image_jpeg.jpg"
SAMA Bankside (Sponsored),Bars and Wine Bars,No Rating,"3 Robinson Rd,  London",SE1 8BU,020 3904 6760 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Byward Kitchen & Bar (Sponsored),Bars and Wine Bars,No Rating,"Byward Street,  London",EC3R 5BJ,020 7481 3533 ,bywardkitchenandbar.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Market House (Sponsored),Night Clubs,No Rating,"433-445 Coldharbour Lane,  London",SW9 8LN,020 7095 9443 ,market-house.co.uk,"https://c.yell.com/t_bigRect,f_auto/435290d6-ea1e-45da-adf5-5595bb320204_image_jpeg.jpg"
Blindspot Bar,Night Clubs,4.0(1 Rating),"45 St. Martin's Lane,  London",WC2N 4HX,020 7300 5588 ,morganshotelgroup.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
