Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Double Vision Mobile Bars,Mobile Bars,5.0(5 Ratings),"Stonebatch,  Shrewsbury",SY5 0NE,07828 785219 ,doublevision-mobilebars.co.uk/,"https://c.yell.com/t_bigRect,f_auto/a0337faa-826c-47a1-9f87-43fe171d6bd7_image_jpeg.jpg"
Mariners Court,Bars and Wine Bars,No Rating,"125-127, The Broadway,  Leigh-On-Sea",SS9 1PG,01702 481966 ,estuarypub.co.uk,"https://c.yell.com/t_bigSquare,f_auto/ad4a639d-a444-4eba-af09-086f22380667_image_jpeg.jpg"
Champagne Bar By Ebony,Bars and Wine Bars,2.5(2 Ratings),"Unit 8 Walkergate,  Durham",DH1 1SQ,0191 375 7121 ,ebonychampagnebar.co.uk,"https://c.yell.com/t_bigRect,f_auto/1fcee088-eb86-4484-a474-533a0246291d_image_jpeg.jpg"
Cheers Bar Service,Mobile Bars,No Rating,"Imar,  Hereford",HR2 8LZ,01981 580195/07977 101824,cheersoutsidebars.co.uk,"https://c.yell.com/t_bigRect,f_auto/1b91a44b-8bf5-43d7-8af4-e19f9cb13054_image_jpeg.jpg"
Crc Leisure / B.S.B. Mobile Bars,Mobile Bars,No Rating,"25 Oxcroft Estate,  Worksop",S80 4NA,01246 384454/07885 930523,bobthebar.com,"https://c.yell.com/t_bigRect,f_auto/e5d31c1d-4ff0-4133-87e2-4cc124564d67_image_jpeg.jpg"
Bohemia Ltd,Cocktail Bars,3.8(4 Ratings),"16 Cross Keys Mews Market Square,  St. Neots",PE19 2AR,01480 716265 ,bohemiastneots.com,"https://c.yell.com/t_bigRect,f_auto/a08f7be0-75d5-4d8e-9ec6-2f67f1379680_image_jpeg.jpg"
The Oakleigh Bar & Restaurant,Bars and Wine Bars,3.0(2 Ratings),"1008 London Rd,  Leigh-On-Sea",SS9 3NE,01702 713996 ,bellinibar.co.uk/,"https://c.yell.com/t_bigSquare,f_auto/82a24a67-8322-4c05-8830-d7e02ec1ca59_image_jpeg.jpg"
Hire Class,Mobile Bars,No Rating,"Wolverwood Farm, Wolverwood Lane,  Plymouth",PL7 1PD,01752 331012 ,hireclass.net,"https://c.yell.com/t_bigRect,f_auto/093794b3-d1bc-415e-b847-3130b9225249_image_jpeg.jpg"
The Pantry Newmarket,Bars and Wine Bars,No Rating,"17 The Rookery,  Newmarket",CB8 8EQ,01638 661181 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Stratos Bar,Bars and Wine Bars,No Rating,"7 Avenham Street,  Preston",PR1 3BN,01772 287422 ,stratosbar.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Raising the Bar,Mobile Bars,No Rating,"464 Watford Way,  London",NW7 2QH,07962 353030/020 8454 7887,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
