Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Optegra Eye Hospital Birmingham,Hospitals,No Rating,"The Aston Triangle,  Birmingham",B4 7ET,0121 204 3800 ,optegra.com/hospitals-and-clinics/optegra-eye-hospital-birmingham,"https://c.yell.com/t_bigSquare,f_auto/d7d09501-edeb-40c8-8eb7-cb1bcd7b1abf_image_jpeg.jpg"
Midlands Hearing Implant Programme,Hospitals,No Rating,"The Aston Triangle,  Birmingham",B4 7ET,0121 204 3830 ,bch.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Birmingham Women's & Children's Hospital Charity,Hospitals,No Rating,"Steelhouse Lane,  Birmingham",B4 6NH,0121 333 8506 ,bch.org.uk,"https://c.yell.com/t_bigSquare,f_auto/3a8e5ed0-b81a-48cf-98cc-1ebb69c7359c_image_jpeg.jpg"
British Society for Paediatric & Adolescent Rheumatology,Hospitals,No Rating,"Steelhouse Lane,  Birmingham",B4 6NH,0121 333 8706 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Priory Wellbeing Centre,Hospitals,No Rating,"Ground Floor 172 Edmund St,  Birmingham",B3 2HB,0121 200 5930 ,priorygroup.com,"https://c.yell.com/t_bigSquare,f_auto/b8ec756d-2c48-470b-b1da-7dda47482d1c_image_jpeg.jpg"
Birmingham Solihull Mental Health NHS Trust,Hospitals,No Rating,"Devon House, Edgbaston,  BIRMINGHAM",B15 2QR,0121 678 2450 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
3d Health Solutions UK Ltd,Healthcare Companies,5.0(1 Rating),"88 Stratford Rd,  Birmingham",B11 1AN,0121 272 7777 ,3dhealthsolutions.co.uk/,"https://c.yell.com/t_bigRect,f_auto/7e9b5cb1-bee8-4ab9-93cb-586faf24573c_image_jpeg.jpg"
Birmingham & Solihull Mental Health Trust,Hospitals,No Rating,"Unit 1 501 Summer Hill Rd,  Birmingham",B1 3RB,0121 301 1111 ,bsmhft.nhs.uk/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Health Exchange C I C Ltd,Healthcare Companies,No Rating,"27 Moseley Rd,  Birmingham",B12 0HJ,0121 663 0007 ,healthexchange.org.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Spa Medica Eye Hospital,Hospitals,No Rating,"Apex House 3 Embassy Drive, Calthorpe Rd,  Birmingham",B15 1TR,0330 058 4280 ,spamedica.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Nuffield Health,Hospitals,No Rating,"Broadway Plaza 220 Ladywood Middlew,  Birmingham",B16 8LP,0121 667 4889 ,nuffieldhealth.com/health-assessments,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Sandwell & West Birmingham Hospitals NHS Trust,Hospitals,No Rating,"City Hospital Dudley Rd,  Birmingham",B18 7QH,0121 554 3801 ,swbh.nhs.uk,"https://c.yell.com/t_bigSquare,f_auto/2fa69f3f-2d36-43ac-b9c7-bce2ef623e49_image_jpeg.jpg"
Brunswick House,Hospitals,No Rating,"1 James Watt Drive,  Wednesbury",WS10 0PQ,0121 505 6933 ,partnershipsincare.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Birmingham Treatment Centre,Hospitals,No Rating,"City Hospital, Dudley Road,  Birmingham",B18 7QH,0121507 6180 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Birmingham & Midland Eye Centre,Hospitals,No Rating,"City Hospital Dudley Rd,  Birmingham",B18 7QH,0121 507 6806 ,nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Birmingham & Solihull Mental Health Trust,Hospitals,No Rating,"Meadowcroft Unit Picu Lodge Rd,  Birmingham",B18 5SD,0121 685 6160 ,bsmhft.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
NX Imaging,Hospitals,No Rating,"P.O Box 13526,  Birmingham",B16 6DP,01902 695935 ,nximaging.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Ramsay Healthcare,Hospitals,No Rating,"53 Church Road,  BIRMINGHAM",B15 3SJ,0121 455 0313 ,ramsayhealth.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
