Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Gray Healthcare,Hospitals,No Rating,"West Tower, 10, Brook St,  Liverpool",L3 9PJ,0151 255 2830 ,grayhealthcare.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Mersey Care NHS Trust,Hospitals,No Rating,"8 Princes Parade,  Liverpool",L3 1DL,0151 285 2237 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Royal Liverpool & Broadgreen University Hospital,Hospitals,No Rating,"Prescot St,  Liverpool",L7 8XP,0151 706 2000 ,rlbuht.nhs.uk,"https://c.yell.com/t_bigSquare,f_auto/efe42829-e082-4def-904f-0f4e5600f45e_image_jpeg.jpg"
Windsor House Hospital,Hospitals,No Rating,"40 Upper Parliament Street,  Liverpool",L8 7LF,0151250 5300 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Liverpool Women's N H S Hospital,Hospitals,No Rating,"Crown St,  Liverpool",L8 7SS,0151 708 9988 ,liverpoolwomens.nhs.uk,"https://c.yell.com/t_bigSquare,f_auto/45e96921-63bb-4155-b23b-74685b50ccb1_image_jpeg.jpg"
Diagnostic Healthcare,Private Healthcare,No Rating,"Liverpool Women's Hospital, Ultrasound Dept., Room 4,  Liverpool",L8 7SS,0161 929 5679/0161 9416486,diagnostichealthcareltd.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Diagnostic Healthcare Ltd,Healthcare Companies,No Rating,"Liverpool Womens Hospital Room 4, Crown St,  Liverpool",L8 7SS,0161 929 5679 ,diagnostichealthcareltd.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Capio Nightingale Hospital,Hospitals,No Rating,"Park Road,  LIVERPOOL",L22 3XE,0151 257 6200 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Integrated Radiological Services Ltd,X-Ray Services,No Rating,"188 Century Building Tower St,  Liverpool",L3 4BJ,0151 709 6296 ,irs-limited.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
medical-treatment-Overseas.co.uk,Hospitals,No Rating,"28 Monk Rd,  Wallasey",CH44 1AJ,0151 630 2700 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Nuffield Health Assessment,Hospitals,No Rating,"1 Riverside Drive, Hopton,  Liverpool",L3 4EN,0333 920 4311 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Mersey Care N H S Foundation Trust,Hospitals,No Rating,"Second Floor Liverpool Innovations Park, Digital Way,  Liverpool",L7 9NJ,0151295 3000 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Park Lodge Mersey Care NHS Trust,Hospitals,No Rating,"Orphan Drive,  Liverpool",L6 7UN,0151 330 8900 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Wirral Early Intervention Team,Hospitals,No Rating,"St. Catherines Hospital, Church Rd,  Birkenhead",CH42 0LQ,0151 488 7773 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Spire Liverpool Hospital,Hospitals,No Rating,"57 Greenbank Rd Mossley Hill,  Liverpool",L18 1HQ,0151 220 0243 ,spirehealthcare.com,"https://c.yell.com/t_bigRect,f_auto/6f3dcfb7-61e2-485a-92ea-3e3be6692103_image_png.png"
Classic Hospital Lourdes,Hospitals,No Rating,"57 Greenbank Road,  LIVERPOOL",L18 1HQ,0151 733 7123 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Walton Hospital,Hospitals,No Rating,"Rice Lane, Aintree,  LIVERPOOL",L9 1NL,0151 525 3611 ,nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Rathbone Hospital,Hospitals,No Rating,"Mill Lane,  LIVERPOOL",L13 4AW,0151 473 0303 ,nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Bone & Joint Centre,Hospitals,No Rating,"57 Greenbank Rd,  Liverpool",L18 1HQ,0151 522 1860 ,boneandjointcentre.com/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Mossley Hill Hospital,Hospitals,No Rating,"Park Avenue,  Liverpool",L18 8BU,0151 250 6097 ,merseycare.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Liverpool Heart & Chest Hospital,Hospitals,No Rating,"Thomas Drive,  Liverpool",L14 3PE,0151 600 1616 ,lhch.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Broadgreen Hospital,Hospitals,No Rating,"Thomas Drive,  Liverpool",L14 3LB,0151 282 6000 ,rlbuht.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Sleeptight Maternity Centre Ltd,Hospitals,No Rating,"17 Crosby Road South,  Liverpool",L22 1RG,0151792 8605 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Spire Murrayfield Hospital Wirral,Hospitals,No Rating,"Holmwood Drive,  Wirral",CH61 1AU,0151 9295408 ,,"https://c.yell.com/t_bigRect,f_auto/d0bff093-f2a3-4bbf-baf7-1695b69fe8f4_image_jpeg.jpg"
The Volunteer Department,Hospitals,No Rating,"Aintree University Hospital, Longmoor Lane,  Liverpool",L9 7AL,0151 529 2408 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Wheelchair Services,Hospitals,No Rating,"University Aintree Hospital, Longmoor Lane,  Liverpool",L9 7AL,0151529 3100 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Aintree University NHS Foundation Trust,Hospitals,No Rating,"Aintree House, Fazakerley,  LIVERPOOL",L9 7AL,0151 525 5980 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Walton Centre,Hospitals,No Rating,"Lower Lane,  Liverpool",L9 7LJ,0151 525 3611 ,thewaltoncentre.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Medical Negligence Direct,Healthcare Companies,No Rating,"1clock Tower Park New Hall,  Liverpool",L10 1LD,0800 644 4240 ,medicalnegligencedirect.com/,"https://c.yell.com/t_bigSquare,f_auto/46967694-6c23-4953-875e-28675222b563_image_png.png"
"Spire Murrayfield Hospital, Wirral",Hospitals,No Rating,"Holmwood Drive Thingwall,  Wirral",CH61 1AU,0151 929 5181 ,spirehealthcare.com/spire-murrayfield-hospital-wirral/,"https://c.yell.com/t_bigRect,f_auto/55f9be74-8800-44ee-b656-e929f8c92c57_image_jpeg.jpg"
The Sefton Suite,Hospitals,No Rating,"1 Kenilworth Rd,  Liverpool",L23 3AD,0151 257 6700 ,seftonsuite.co.uk,"https://c.yell.com/t_bigSquare,f_auto/8d877f31-17b7-4ae3-b4ae-8ea19fce10ca_image_jpeg.jpg"
Wirral Hospital NHS Trust,Hospitals,No Rating,"Arrowe Park Hospital, Arrowe Park Rd,  Wirral",CH49 5PE,0151 678 5111 ,wuth.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Wirral Hospital Nhs Trust,Hospitals,No Rating,"Clatterbridge Hospital, Clatterbridge Rd,  Wirral",CH63 4JY,0151 556 5000 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Sir Alfred Jones Memorial Hospital,Hospitals,No Rating,"Church Road,  LIVERPOOL",L19 2LP,0151 494 3198 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Clatterbridge Hospital,Hospitals,No Rating,"Clatterbridge Rd,  Wirral",CH63 4JY,0151 334 4000 ,clatterbridgecc.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Whiston Hospital,Hospitals,No Rating,"Warrington Rd,  Prescot",L35 5DR,0151 426 1600 ,sthk.nhs.uk,"https://c.yell.com/t_bigSquare,f_auto/fdfe7b90-fca3-417e-99d8-d8831dc7d1cb_image_jpeg.jpg"
National Blood Service,Hospitals,No Rating,"14 Estuary Banks,  Liverpool",L24 8RB,0300 123 2323 ,blood.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Soppet Partnership,X-Ray Services,No Rating,"37 Fernwood Drive, Halewood Village,  ",L26 7ZB,0151 556 0545 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Ashworth Hospital - Merseycare N H S Trust,Hospitals,No Rating,"Parkbourn Maghull Parkbourn,  Liverpool",L31 1HW,0151 473 0303 ,merseycare.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Life Through the Lens Ltd,Pregnancy Test Services,No Rating,"35 Eastham Village Rd,  Wirral",CH62 0BL,0151 328 0208 ,lifethroughthelens4d.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
St Helens & Knowsley Teaching Hospitals Nhs Trust,Hospitals,No Rating,"The Court Alexandra Park, Prescot Road,  St Helens",WA10 3TP,0151426 1600 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Scott Clinic,Hospitals,No Rating,"Rainhill Rd,  St. Helens",WA9 5BD,0151 473 0303 ,merseycare.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
