Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Dr. Rajan Eyecare Hospital,Hospitals,No Rating,"Malaysia House, 57, Trafalgar Square,  London",WC2N 5DU,01824 500750 ,drrajaneyecare.com,"https://c.yell.com/t_bigSquare,f_auto/aa6bf273-ed74-4996-956f-10189686aada_image_png.png"
Nagarjuna Ayurveda Centre Kerala,Hospitals,No Rating,"Malaysia House, 57, Trafalgar Square,  London",WC2N 5DU,020 7123 4567 ,nagarjunaayurveda.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Nuffield Health Covent Garden,Hospitals,No Rating,"9 Endell St,  London",WC2H 9BJ,020 3773 8785 ,nuffieldhealth.com/health-assessments,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Evelina Childrens Hospital,Hospitals,5.0(1 Rating),"St Thomas's Hospital, Lambeth Palace Rd,  London",SE1 7EH,020 7188 7188 ,evelinalondon.nhs.uk,"https://c.yell.com/t_bigSquare,f_auto/3b758bc1-0ac4-4295-8c57-01986441c671_image_jpeg.jpg"
St. Thomas' Hospital,Hospitals,1.0(6 Ratings),"249 Westminster Bridge Rd,  London",SE1 7EH,020 7188 7188 ,guysandstthomas.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Haemostasis Research Unit,Hospitals,No Rating,"249 Westminster Bridge Rd,  London",SE1 7EH,020 7188 2781 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Guy's & St. Thomas' NHS Foundation Trust,Hospitals,No Rating,"St. Thomas' Hospital, Lambeth Palace Rd,  London",SE1 7JU,020 7188 7188 ,guysandstthomas.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Berkeley Square Medical,Hospitals,No Rating,"Berkeley Square House, Berkeley Square,  London",W1J 6BD,020 7887 7607 ,berkeleysquaremedical.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Royal London Homoeopathic Hospital,Hospitals,No Rating,"60 Great Ormond St,  London",WC1N 3HR,0845 155 5000 ,uclh.nhs.uk,"https://c.yell.com/t_bigSquare,f_auto/620d5152-5efc-4677-beea-50dd716d08d7_image_jpeg.jpg"
Gavin Morrison,Hospitals,No Rating,"Westminster Bridge Rd,  London",SE1 7EH,020 7188 2194 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
KG Hypnobirthing,Pregnancy,No Rating,"Mercury House, 117, Waterloo Road,  London",SE1 8UL,01264 535002 ,kghypnobirthing.com,"https://c.yell.com/t_bigRect,f_auto/1fd06eca-4279-4a42-8e30-914dc6fd7a69_image_jpeg.jpg"
Medispaguide,Healthcare Companies,No Rating,"27 Old Gloucester St,  London",WC1N 3AX,07813 127260 ,medispaguide.com,"https://c.yell.com/t_bigSquare,f_auto/17c3c009-5ea3-4978-9c65-be4df9d8ffef_image_jpeg.jpg"
National Hospital for Neurology & Neurosurgery at Cleveland Street,Hospitals,No Rating,"25 Cleveland St,  London",W1T 4AJ,020 3448 4776 ,uclh.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
General Healthcare,Hospitals,No Rating,"3 Paris Garden,  London",SE1 8ND,020 3283 6600 ,bmihealthcare.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
National Hospital For Neurology & Neurosurgery,Hospitals,No Rating,"Queen Square,  LONDON",WC1N 3BG,0845 155 5000 ,nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Institute of Prion Disease,Hospitals,No Rating,"33 Cleveland St,  London",W1W 7FF,020 7679 5142 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
