Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Halcyon Health Care,Private Healthcare,5.0(2 Ratings),"14-18 York Rd,  Wetherby",LS22 6SL,020 3376 0269 ,halcyonhealthcare.co.uk/,"https://c.yell.com/t_bigRect,f_auto/75cb1203-525c-4423-8b19-6ffc295a663d_image_png.png"
Wandle Healthcare Services,Nurses' Agencies and Care Agencies,5.0(2 Ratings),"Lombard Business Park, 12, Deer Park Rd,  London",SW19 3TL,020 3963 9450 ,wandlehealthcare.co.uk/,"https://c.yell.com/t_bigRect,f_auto/f17b0e62-e4b1-43ad-a68d-d9832635d909_image_jpeg.jpg"
Nuffield Health,Hospitals,5.0(1 Rating),"Clayton Rd,  Newcastle Upon Tyne",NE2 1JP,0191 281 6131 ,nuffieldhealth.com,"https://c.yell.com/t_bigSquare,f_auto/c23dcfa7-30fc-4884-b1a3-29f654fbe50d_image_jpeg.jpg"
Will Adams N H S Treatment Centre,Hospitals,5.0(1 Rating),"Beechings Way,  Gillingham",ME8 6AD,0333 200 1730 ,willadamstreatmentcentre.nhs.uk/,"https://c.yell.com/t_bigSquare,f_auto/2167a7e1-44a2-437b-9fc6-68f3cef72083_image_jpeg.jpg"
Lumbry Park Veterinary Specialists,Hospitals,5.0(1 Rating),"Selborne Rd,  Alton",GU34 3HL,01420 481777 ,lumbrypark.co.uk/,"https://c.yell.com/t_bigRect,f_auto/ade0f19f-d668-42b1-a8fd-d18124d45a39_image_png.png"
The Cobham Clinic,Hospitals,3.0(1 Rating),"within The Luton & Dunstable Hospi, Lewsey Rd,  Luton",LU4 0DZ,01582 347123 ,ldh.nhs.uk/the-cobham-clinic,"https://c.yell.com/t_bigRect,f_auto/79064d02-5d9e-4bab-a4db-481a0deeafcb_image_jpeg.jpg"
St. Margarets Hospital,Hospitals,5.0(2 Ratings),"The Plain,  Epping",CM16 6TN,01992 561666 ,nhs.uk,"https://c.yell.com/t_bigSquare,f_auto/ca12e855-3442-4a87-94ee-fa283aa7a170_image_jpeg.jpg"
The Queen Elizabeth the Queen Mother Hospital (Margate),Hospitals,5.0(1 Rating),"St. Peters Rd,  Margate",CT9 4AN,01843 225544 ,ekht.nhs.uk,"https://c.yell.com/t_bigSquare,f_auto/fe207701-7eda-482a-a0ab-28f2ef41299e_image_jpeg.jpg"
1st Class Care UK,Healthcare Companies,5.0(1 Rating),"Unit 44 Millmead Business Centre, Mill Mead Rd,  London",N17 9QU,020 3489 2112 ,1stclasscareuk.com/,"https://c.yell.com/t_bigSquare,f_auto/3384eb61-43b6-490c-ac59-fd51a1237131_image_jpeg.jpg"
Make a Difference Healthcare,Healthcare Companies,5.0(1 Rating),"71 Pure Offices,  Swindon",SN2 8BW,01793 239609 ,makeadifferencehealthcare.co.uk/,"https://c.yell.com/t_bigRect,f_auto/b8b24bcf-fc3a-4710-a432-058726d14e77_image_png.png"
Carewell Support Services,Healthcare Companies,5.0(1 Rating),"223 Streatham High Rd,  London",SW16 6EN,020 8677 3333 ,carewellsupportservices.com,"https://c.yell.com/t_bigSquare,f_auto/58d9aeef-98bb-44c2-8eac-82fe75cfcbbf_image_jpeg.jpg"
Pinewood Nursing Home,Elderly Care,5.0(1 Rating),"Cot Lane,  Chichester",PO18 8ST,01243 219030 ,pinewoodnursinghome.co.uk/,"https://c.yell.com/t_bigRect,f_auto/480b4c32-4f33-429a-af34-ff66856e9ec3_image_jpeg.jpg"
Spire Cheshire Hospital,Hospitals,No Rating,"Fir Tree Close,  Warrington",WA4 4LU,01925 933248 ,spirecheshire.com,"https://c.yell.com/t_bigRect,f_auto/366cc6ea-8762-4864-925d-b963ffb11756_image_jpeg.jpg"
Prince Philip Hospital,Hospitals,5.0(2 Ratings),"Bryngwyn Mawr,  Llanelli",SA14 8QF,01554 756567 ,carmarthen.wales.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Gynaecologist,Family Planning and Sexual Health Clinics,5.0(2 Ratings),"108 Harley St,  London",W1G 7ET,07940 072111 ,mahanteshkaroshi.co.uk/,"https://c.yell.com/t_bigRect,f_auto/c4040d47-26b9-4570-862c-06749030c7e1_image_jpeg.jpg"
Dilke Memorial Hospital,Hospitals,5.0(1 Rating),"Speech House Rd,  Cinderford",GL14 3HX,0300 421 8640 ,glos-care.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Bryn Y Neuadd Hospital,Hospitals,5.0(1 Rating),"Aber Rd,  Llanfairfechan",LL33 0HH,01248 682682 ,wales.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Orpington Hospital,Hospitals,5.0(1 Rating),"Sevenoaks Rd,  Orpington",BR6 9JU,01689 863000 ,bromleyhospitals.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Corby Community Hospital,Hospitals,5.0(1 Rating),"Cottingham Rd,  Corby",NN17 1UN,01536 400070 ,nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Cheshunt Community Hospital,Hospitals,5.0(1 Rating),"King Arthur Court,  Waltham Cross",EN8 8XN,01992 622157 ,nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Queen Victoria Hospital,Hospitals,5.0(1 Rating),"Holtye Rd,  East Grinstead",RH19 3DZ,01342 414000 ,qvh.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
One Life Hartlepool,Hospitals,5.0(2 Ratings),"Park Rd,  Hartlepool",TS24 7PW,01429 285800 ,nhs.uk/pages/home.aspx,"https://c.yell.com/t_bigSquare,f_auto/c6c29aa3-a3ef-472b-b8df-2cd52dfc8597_image_jpeg.jpg"
North Hampshire Hospitals Nhs Foundation Trust,Hospitals,5.0(1 Rating),"Aldermaston Rd,  Basingstoke",RG24 9NA,01256 473202 ,hampshirehospitals.nhs.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
