Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Travelodge Hotels Ltd,Hotels,5.0(1 Rating),"38 Exchange St East,  Liverpool",L2 3PS,0871 559 1849 ,travelodge.co.uk/hotels/84/cheltenham-hotel,"https://c.yell.com/t_bigSquare,f_auto/d6c8520a-cc83-4ce2-ae29-d9d21dcac5e9_image_jpeg.jpg"
The Radisson Blue,Hotels,4.0(1 Rating),"107 Old Hall St,  Liverpool",L3 9BD,0151 966 1500 ,radissonhotels.com/en-us/hotels/radisson-blu-liverpool,"https://c.yell.com/t_bigRect,f_auto/67d72280-10c9-4edf-a290-63770162ef36_image_jpeg.jpg"
Premier Inn Liverpool City Centre (Moorfields),Hotels,No Rating,"3 Vernon St,  Liverpool",L2 2AY,0871 527 8624 ,premierinn.com/gb/en/hotels/england/merseyside/liverpool/liverpool-city-centre-moorfields.html,"https://c.yell.com/t_bigRect,f_auto/733f84c9-3a36-499c-b535-4496f61d7a94_image_jpeg.jpg"
"The Richmond, BW Premier Collection",Hotels,No Rating,"24 Hatton Garden,  Liverpool",L3 2AA,0151 236 1220 ,richmondliverpool.com,"https://c.yell.com/t_bigSquare,f_auto/f0adda21-5099-494f-b960-ea3d0c5b347c_image_jpeg.jpg"
"Signature Living, Serviced Apartments",Hotels,5.0(1 Rating),"38-40 Victoria Street,  Liverpool",L1 6BX,0845 0805104 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
ibis Styles Liverpool Centre Dale Street - Cavern Quarter,Hotels,No Rating,"67 Dale St,  Liverpool",L2 2HJ,0151 243 1720 ,all.accor.com/hotel/7601/index.en.shtml,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Doubletree by Hilton Hotel,Hotels,No Rating,"6 Sir Thomas St,  Liverpool",L1 6BR,0151 556 1222 ,doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-hotel-and-spa-liverpool-LPLDLDI/index.html,"https://c.yell.com/t_bigRect,f_auto/3765d6b6-be16-4ca8-8e3a-898d3762450b_image_jpeg.jpg"
Hotel Indigo Liverpool,Hotels,No Rating,"10 Chapel St,  Liverpool",L3 9AG,0151 559 0111 ,ihg.com/hotelindigo/hotels/gb/en/liverpool/lplil/hoteldetail,"https://c.yell.com/t_bigRect,f_auto/df89d939-ab8b-4e9b-858b-f33a68b22f5a_image_png.png"
Exquisite Hotel Solutions Ltd,Hotels,No Rating,"The Plaza, 100, Old Hall St,  Liverpool",L3 9QJ,0844 2886962 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Albany Apartments,Hotels,No Rating,"8 Old Hall Street,  Liverpool",L3 9PA,0845 0805104 ,come2liverpool.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
