Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Amhurst Hotel (Sponsored),,4.0(1 Rating),"45 Amhurst Park,  London",N16 5DL,020 3597 3113 ,amhursthotel.co.uk/,"https://c.yell.com/t_bigSquare,f_auto/792afeb9-b97c-46a9-b5a9-26c10f42adc7_image_jpeg.jpg"
Amhurst Hotel (Sponsored),,4.0(1 Rating),"45 Amhurst Park,  London",N16 5DL,020 7101 2135 ,amhursthotel.co.uk,"https://c.yell.com/t_bigSquare,f_auto/792afeb9-b97c-46a9-b5a9-26c10f42adc7_image_jpeg.jpg"
Caspian Hotel (Sponsored),,No Rating,"14 Haven Green, Ealing Broadway,  London",W5 2UU,020 8997 3524 ,caspianhotel.co.uk,"https://c.yell.com/t_bigRect,f_auto/0e59dd87-dc72-4e86-96cb-d96a91004b09_image_png.png"
Holiday Inn Express London - Wimbledon South,,4.3(3 Ratings),"200 High St Colliers Wood,  London",SW19 2BH,020 3370 4632 ,exhiwimbledon.co.uk,"https://c.yell.com/t_bigRect,f_auto/fdc5a898-9073-4367-9a08-245af1c2ffa3_image_png.png"
The Whitechapel Hotel,,No Rating,"49-53 New Rd,  London",E1 1HH,02033194175 ,thewhitechapelhotel.com/,"https://c.yell.com/t_bigRect,f_auto/2be647e8-5b5d-4433-8c37-5e632f12bfab_image_jpeg.jpg"
Trafalgar Hotel,,5.0(1 Rating),"2 Spring Gardens,  London",SW1A 2TS,020 7870 2900 ,hilton.com/en/hotels/lontsqq-the-trafalgar-st-james-london/,"https://c.yell.com/t_bigRect,f_auto/92a736e0-1f9e-49cb-8152-c8b1e5d52580_image_jpeg.jpg"
"St Martin's Lane London, A House Of Originals Hotel",,4.7(3 Ratings),"45 St. Martin's Lane,  London",WC2N 4HX,020 7300 5500 ,all.accor.com/hotel/B5D3/index.en.shtml,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
www.athensplazaluxurysapartments.com,,5.0(1 Rating),"57 Trafalgar Square,  London",WC2N 5DU,0800 030 4238 ,athensplazaluxurysapartments.com,"https://c.yell.com/t_bigSquare,f_auto/ebaef735-fa8d-407e-809d-387981237177_image_jpeg.jpg"
Amistad Hotel Marketing Partnership Ltd,,No Rating,"Golden Cross House Duncannon St,  London",WC2N 4JF,020 7484 5000 ,amistadpartners.com/contact-us,"https://c.yell.com/t_bigSquare,f_auto/79cfc872-c72d-4b5e-9fb3-bb997a7ecc67_image_jpeg.jpg"
"Club Quarters Hotel, London, Trafalgar Square",,No Rating,"8 Northumberland Avenue,  London",WC2N 5BY,020 7839 9333 ,,"https://c.yell.com/t_bigRect,f_auto/3cdffb2d-0249-443b-9582-1a254b6a1c08_image_jpeg.jpg"
