Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
The George Hotel,Hotels,4.3(3 Ratings),"71 High St,  Stamford",PE9 2LB,01780 431199 ,georgehotelofstamford.com,"https://c.yell.com/t_bigRect,f_auto/9f4a978f-573e-4be9-84b3-65beb710bedb_image_jpeg.jpg"
The Whitechapel Hotel,Hotels,No Rating,"49-53 New Rd,  London",E1 1HH,02033194175 ,thewhitechapelhotel.com/,"https://c.yell.com/t_bigRect,f_auto/2be647e8-5b5d-4433-8c37-5e632f12bfab_image_jpeg.jpg"
Carlton Hotel,Hotels,No Rating,"67 High St,  Forres",IV36 1AE,01309 672531 ,,"https://c.yell.com/t_bigSquare,f_auto/46b41061-0333-47bd-9dc9-6fa75ae257ca_image_jpeg.jpg"
Holiday Inn Express London - Wimbledon South,Hotels,4.3(3 Ratings),"200 High St Colliers Wood,  London",SW19 2BH,020 3370 4632 ,exhiwimbledon.co.uk,"https://c.yell.com/t_bigRect,f_auto/fdc5a898-9073-4367-9a08-245af1c2ffa3_image_png.png"
Park Plaza Cardiff,Hotels,5.0(1 Rating),"Greyfriars Rd,  Cardiff",CF10 3AL,029 2011 1111 ,parkplazacardiff.com,"https://c.yell.com/t_bigSquare,f_auto/8a830146-e5c7-4bf5-9736-960d3556b626_image_jpeg.jpg"
Plymouth Backpackers Hotel,Hotels,4.0(1 Rating),"102 Union St,  Plymouth",PL1 3HL,01752 429403 ,plymouthbackpackershotel.co.uk/,"https://c.yell.com/t_bigRect,f_auto/c8538cde-e238-4bcd-bfb2-3baa0b2b5202_image_jpeg.jpg"
The Norland Guest House,Hotels,3.4(5 Ratings),"695 Great Horton Rd,  Bradford",BD7 4DU,01274 571698 ,norlandguesthouse.gbr.cc,"https://c.yell.com/t_bigRect,f_auto/b539e0ae-0adf-46f7-9eb7-a0788fbb608f_image_jpeg.jpg"
The Ship,Hotels,4.0(1 Rating),"18 Broomfield Rd,  Chelmsford",CM1 1SW,01245 415263 ,greenekingpubs.co.uk,"https://c.yell.com/t_bigSquare,f_auto/857103e6-ef13-40a7-9086-ba0da7ab1870_image_png.png"
The Bears Paw,Hotels,No Rating,"School Lane,  Sandbach",CW11 3QN,01270 442828 ,thebearspaw.co.uk,"https://c.yell.com/t_bigSquare,f_auto/b6d99c7a-ad15-4914-964d-3ced296614b9_image_jpeg.jpg"
The Clifton Hotel,Hotels,No Rating,"St Pauls Road,  Bristol",BS8 1LX,0117 370 3754 ,cliftonhotels.com/bristol-hotels/clifton,"https://c.yell.com/t_bigRect,f_auto/e20024e4-703c-4a36-ad55-d17ad19cee2d_image_jpeg.jpg"
The Pheasant Inn,Hotels,No Rating,"Pennsilvania Cottage,  Chester",CH3 9PF,01829 706169 ,grosvenorpulfordhotel.co.uk/,"https://c.yell.com/t_bigSquare,f_auto/ae41d084-8e65-4bff-9c53-7f2ce455b806_image_jpeg.jpg"
Lion Hotel,Hotels,5.0(1 Rating),  Pwllheli,LL53 8ND,01758 770244 ,lionhoteltudweiliog.co.uk,"https://c.yell.com/t_bigRect,f_auto/23e55024-a6f8-435c-b7cb-eacd38a0cab4_image_jpeg.jpg"
The Imperial Hotel,Hotels,5.0(1 Rating),"13-15 North Drive,  Great Yarmouth",NR30 1EQ,01493 802300/01493 852229,imperialhotel.co.uk,"https://c.yell.com/t_bigRect,f_auto/a9f9cfcd-feff-44e9-ad28-0b6a14910f82_image_jpeg.jpg"
