Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Pepe's Piri Piri,Takeaway Food,3.0(2 Ratings), West Bromwich,,0121 553 0282 ,pepespiripirionline.co.uk,"https://c.yell.com/t_bigRect,f_auto/5fa2629d-0ebb-475a-9dbe-bc7bf0adf165_image_png.png"
Pizza Express,Pizzerias,3.0(3 Ratings),"4 The Citadel Corporation St,  Birmingham",B4 6QB,0121 236 0221 ,pizzaexpress.com/birmingham-the-citadel,"https://c.yell.com/t_bigRect,f_auto/cbe27a42-2db5-4a6e-87ea-f99853fd77e1_image_png.png"
Pizza Hut (UK) Ltd,Pizzerias,4.0(3 Ratings),"25 Martineau Place,  Birmingham",B2 4UB,0121 233 3357 ,pizzahut.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Project Pizza,Pizza Delivery and Takeaway,No Rating,"178 Corporation Street,  BIRMINGHAM",B4 6UD,0121 679 2243 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Papa John's,Pizza Delivery and Takeaway,No Rating,"Unit 2 Block H1 Masshouse Plaza,  Birmingham",B5 5JE,0121 236 3399 ,papajohns.co.uk,"https://c.yell.com/t_bigSquare,f_auto/af8e6da0-8c41-48ee-91a4-7bb49de68860_image_jpeg.jpg"
Pizza Paradise,Pizza Delivery and Takeaway,1.0(2 Ratings),"87 Old Snow Hill,  Birmingham",B4 6HW,0121 448 8400 ,thepizzaparadise.co.uk,"https://c.yell.com/t_bigRect,f_auto/7a35c2fa-068b-46c6-b56a-eae2f88bd812_image_png.png"
Locanta,Italian Restaurants,5.0(2 Ratings),"31 Ludgate Hill,  Birmingham",B3 1EH,0121 236 7227 ,locanta.com,"https://c.yell.com/t_bigSquare,f_auto/ecbe26c5-1b40-4d3b-9d47-8354ebaa3197_image_jpeg.jpg"
Subway,Fast Food Restaurants,4.0(1 Rating),"Summer Lane (east side),  Birmingham",B19 3ND,0121 359 1930 ,subway.com/en-GB,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Pizza Hut,Pizzerias,4.0(1 Rating),"Unit R4 Level 3 The Bullring,  Birmingham",B2 4PA,0121 643 3359 ,pizzahut.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Pizza City,Pizza Delivery and Takeaway,No Rating,"37 Constitution Hill,  Birmingham",B19 3LE,0121 236 2727 ,pizzacity.com,"https://c.yell.com/t_bigSquare,f_auto/cc30461d-74ea-4353-819b-284b0b74764f_image_jpeg.jpg"
Pizza Hut (UK) Ltd,Pizzerias,3.0(1 Rating),"135-137, New St,  Birmingham",B2 4NS,0121 643 2080 ,pizzahut.co.uk,"https://c.yell.com/t_bigSquare,f_auto/2aa494da-6e4d-46d8-ba81-15fa25baecc2_image_jpeg.jpg"
Gusto,Italian Restaurants,No Rating,"Gusto Restaurants, 45-49, Colmore Row,  Birmingham",B3 2BS,0121 200 2400 ,gustorestaurants.uk.com,"https://c.yell.com/t_bigSquare,f_auto/54fc6b9d-2868-4224-af6c-0f4ba43141ef_image_jpeg.jpg"
Domino's Pizza - Birmingham - Central,Pizza Delivery and Takeaway,3.0(2 Ratings),"110 Constitution Hill,  Birmingham",B19 3JS,0121 233 3000 ,dominos.co.uk/,"https://c.yell.com/t_bigRect,f_auto/ebc70375-f1e6-4627-b862-43502be8067c_image_png.png"
Subway,Fast Food Restaurants,4.0(1 Rating),"5B Ethel St,  Birmingham",B2 4BG,0121 633 7204 ,subway.com/en-GB,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Pizza Express,Pizzerias,1.0(2 Ratings),"Upper Mall East, Bullring Shopping Centre,  Birmingham",B5 4BF,0121 643 7209 ,pizzaexpress.com/birmingham-bullring,"https://c.yell.com/t_bigRect,f_auto/570f83b3-b2a5-4d5a-8289-9e5f6d19bb96_image_png.png"
Pasta Di Piazza,Italian Restaurants,4.7(3 Ratings),"11 Brook St,  Birmingham",B3 1SA,0121 236 5858 ,pastadipiazza.com/,"https://c.yell.com/t_bigSquare,f_auto/a9c1ccfe-2473-46ad-bacb-9533bd13de20_image_jpeg.jpg"
Pizza Quarter,Pizza Delivery and Takeaway,5.0(3 Ratings),"38 Warstone Lane,  Birmingham",B18 6JQ,0121 236 5125 ,pizzaquarteronline.com,"https://c.yell.com/t_bigSquare,f_auto/834baaab-05d7-4298-a435-1816541355ce_image_jpeg.jpg"
Pizza Palace,Pizza Delivery and Takeaway,5.0(1 Rating),"41 George Street, Jewellery Quarter,  BIRMINGHAM",B3 1QA,0121 236 0004 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Pizza Italiano,Pizza Delivery and Takeaway,No Rating,"3 Lawford Close,  Birmingham",B7 4HJ,0121 333 5625 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Pizza Planet,Fast Food Restaurants,5.0(1 Rating),"37 Horse Fair,  BIRMINGHAM",B1 1DA,0121 622 7171 ,,"https://c.yell.com/t_bigSquare,f_auto/7468e978-e616-4a17-a7ab-4167b1c5aa79_image_jpeg.jpg"
La Galleria,Italian Restaurants,No Rating,"5a Ethel St,  Birmingham",B2 4BG,0121 643 5933 ,lagalleria-birmingham.co.uk,"https://c.yell.com/t_bigSquare,f_auto/dd9d9250-d206-4eac-9ccc-9e82931e6070_image_jpeg.jpg"
Pizza Hut,Pizzerias,No Rating,"Lower Mall, Digbeth,  BIRMINGHAM",B5 4BU,0121 643 3359 ,pizzahut.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Izza Pizza,Pizzerias,No Rating,"Upper Mall West, Digbeth,  BIRMINGHAM",B5 4BP,,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Urban Feast Ltd,Fast Food Restaurants,No Rating,"14 Navigation St,  Birmingham",B2 4DD,0121 643 5575 ,urbanfeast.co.uk,"https://c.yell.com/t_bigSquare,f_auto/1a931416-da1f-4ab7-a52c-9dff6365295d_image_jpeg.jpg"
Rosellas,Pizza Delivery and Takeaway,No Rating,"41 George St,  Birmingham",B3 1QA,0121 236 0004 ,,"https://c.yell.com/t_bigSquare,f_auto/3fee9c67-9688-4451-9263-fc0b2cc7e3e4_image_jpeg.jpg"
Caspian,Pizza Delivery and Takeaway,3.0(4 Ratings),"21-23 Smallbrook Queensway,  Birmingham",B5 4HE,0121 643 7882 ,caspianpizza.com,"https://c.yell.com/t_bigSquare,f_auto/da3da266-f06f-4754-b558-02f8864b4457_image_jpeg.jpg"
Veged Out,Vegetarian Restaurants,No Rating,"7 Fletchers Walk, Paradise Place,  Birmingham",B3 3HJ,0121 439 3488 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Chicken.com,Takeaway Food,2.1(9 Ratings),"73-75 Pershore Street,  Birmingham",B5 4RW,0121 6225253 ,,"https://c.yell.com/t_bigSquare,f_auto/a5642409-c837-441c-bfbc-0ea055cfb2e2_image_jpeg.jpg"
Pizza Birmingham,Pizza Delivery and Takeaway,No Rating,"11 Lichfield Road,  Birmingham",B6 5RW,07854 837000 ,pizzabirminghamonline.com/,"https://c.yell.com/t_bigRect,f_auto/5ec4ecbb-16e8-4cf8-bf59-8d8c575e266c_image_png.png"
