Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
La Filia,Italian Restaurants,No Rating, Altrincham,,0161 928 1522 ,la-filia.co.uk/,"https://c.yell.com/t_bigRect,f_auto/97b7f302-718e-492b-84d7-2781cc07c1ba_image_png.png"
American Pizza Slice,Pizza Delivery and Takeaway,4.0(2 Ratings),"52 Whitechapel,  Liverpool",L1 6EG,0151 559 5412 ,americanpizzaslice.co.uk,"https://c.yell.com/t_bigSquare,f_auto/fd1e3516-0bdf-41be-8adb-a1c0a3617d13_image_jpeg.jpg"
Pizza Express,Pizzerias,4.2(5 Ratings),"11/13 Victoria St,  Liverpool",L2 5QQ,0151 236 4987 ,pizzaexpress.com/liverpool-victoria-street,"https://c.yell.com/t_bigRect,f_auto/4ffad89a-140b-43e9-aead-40c4bb88e49b_image_png.png"
Casa Italia,Italian Restaurants,4.8(6 Ratings),"36-40 Stanley St,  Liverpool",L1 6AL,0151 227 5774 ,casaitalia.com,"https://c.yell.com/t_bigSquare,f_auto/14c10ccb-7385-4ff0-87fe-63c7e70b15a5_image_jpeg.jpg"
American Pizza Slice,Pizza Delivery and Takeaway,4.7(3 Ratings),"52 Whitechapel,  Liverpool",L1 6EG,0151 559 5412 ,,"https://c.yell.com/t_bigRect,f_auto/800cf773-2656-4a8f-94d9-d56c9c1df59a_image_jpeg.jpg"
Olive Restaurant,Italian Restaurants,5.0(1 Rating),"25-27 Castle St,  Liverpool",L2 4TA,0151 227 2242 ,olivepresspizzeria.co.uk,"https://c.yell.com/t_bigSquare,f_auto/17c890da-3069-47f7-9702-402aaeb1760b_image_jpeg.jpg"
Gusto Restaurant & Bar,Italian Restaurants,4.2(4 Ratings),"Edward Pavilion Albert Dock,  Liverpool",L3 4AF,0151 708 6969 ,gustorestaurants.uk.com,"https://c.yell.com/t_bigSquare,f_auto/9bb4344e-6006-4702-ab69-93014bb63f03_image_jpeg.jpg"
Villa Romana,Pizzerias,5.0(1 Rating),"6-8 Wood St,  Liverpool",L1 4AQ,0151 708 8004 ,villaromana.co.uk/,"https://c.yell.com/t_bigRect,f_auto/edb1efd2-bd98-4cb9-9405-9405ff316857_image_jpeg.jpg"
Pizza Hut,Pizzerias,No Rating,"Unit P3r Block 13b Paradise St,  Liverpool",L1 8JF,0151 708 6600 ,pizzahut.co.uk,"https://c.yell.com/t_bigSquare,f_auto/83960825-e17e-4071-8257-13d82d2568c9_image_jpeg.jpg"
Pizza Express,Pizzerias,No Rating,"Unit P1, 13b, Paradise St,  Liverpool",L1 8JQ,0151 707 9977 ,pizzaexpress.com,"https://c.yell.com/t_bigSquare,f_auto/982dad0a-a087-447d-b8d5-8cac69ad86b8_image_jpeg.jpg"
Zizzi,Italian Restaurants,No Rating,"14 Paradise St,  Liverpool",L1 8JF,0151 707 8115 ,zizzi.co.uk/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Chicken Bazooka,Fast Food Restaurants,3.0(1 Rating),"9-11 Ranelagh Place,  Liverpool",L3 5SB,0151 707 0755 ,chickenbazooka.co.uk,"https://c.yell.com/t_bigSquare,f_auto/404d078c-8194-479b-a85a-2843056f2063_image_jpeg.jpg"
Amalia Italian Restaurant,Italian Restaurants,No Rating,"2 Campbell Square,  Liverpool",L1 5FB,0151 709 0402 ,amalialiverpool.co.uk,"https://c.yell.com/t_bigSquare,f_auto/06b1efc2-7111-4774-a6e9-788b11a29296_image_jpeg.jpg"
