Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Caffe A-Roma,Italian Restaurants,5.0(5 Ratings), Twickenham,,020 3953 6849 ,caffea-roma.com/,"https://c.yell.com/t_bigSquare,f_auto/56231d74-d295-4889-8370-c3c114dbc464_image_jpeg.jpg"
The Old Papparazzi,Italian Restaurants,4.5(4 Ratings), Potters Bar,,01707 240018 ,theoldpaparazzi.co.uk,"https://c.yell.com/t_bigRect,f_auto/34ebbf1a-f041-47e8-a0c4-5ea721178228_image_jpeg.jpg"
Wood & Flames Ltd,Fast Food Restaurants,5.0(1 Rating),"371 High Rd Leyton,  London",E10 5NA,07854 479681 ,woodnflames.com,"https://c.yell.com/t_bigRect,f_auto/0c91d4af-f2c0-4172-9402-fe6ee3cbcd98_image_jpeg.jpg"
Mandalay Foods Ltd,Takeaway Food,No Rating,"Chalk Farm Rd,  London",NW1 8AH,07711 818217 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
La Nostra Ltd,Italian Restaurants,5.0(2 Ratings),"741 Green Lanes,  London",N21 3RX,020 3556 6048 ,pizzerialanostra.co.uk,"https://c.yell.com/t_bigRect,f_auto/c283dc1c-d43c-44da-a1b3-d7f423bc3595_image_jpeg.jpg"
Pizza Express,Pizzerias,3.0(2 Ratings),"450 Strand,  London",WC2R 0RG,020 7930 8205 ,pizzaexpress.com/the-strand-trafalgar-square,"https://c.yell.com/t_bigRect,f_auto/8e7294fc-41f0-4e19-a492-ad80f0790406_image_png.png"
Piazza Restaurant,Italian Restaurants,5.0(1 Rating),"35 Cranbourn St,  London",WC2H 7AD,020 7379 6867 ,piazza-restaurant.co.uk,"https://c.yell.com/t_bigSquare,f_auto/cc58b86d-a98b-4e3b-858f-2a21a4c47a97_image_jpeg.jpg"
Pizza Express,Pizzerias,5.0(1 Rating),"26 Panton House Haymarket,  London",SW1Y 4EN,020 7930 8044 ,pizzaexpress.com/piccadilly,"https://c.yell.com/t_bigRect,f_auto/7a11a5a9-235d-4964-8446-62b8a230f36d_image_png.png"
Pizza Hut (UK) Ltd,Fast Food Restaurants,3.0(1 Rating),"56-59 Strand,  London",WC2N 5LR,020 7925 0050 ,pizzahut.co.uk,"https://c.yell.com/t_bigSquare,f_auto/785768eb-be8f-4781-bd1e-673392e59eb2_image_jpeg.jpg"
Spaghetti House,Italian Restaurants,5.0(1 Rating),"66 Haymarket,  London",SW1Y 4RF,020 7839 3641 ,spaghettihouse.co.uk,"https://c.yell.com/t_bigSquare,f_auto/adbad121-329e-4e23-8a69-ed7a3abf7749_image_jpeg.jpg"
Mod Pizza UK Ltd,Pizzerias,No Rating,"17 Irving St,  London",WC2H 7AT,020 7839 2714 ,modpizza.co.uk,"https://c.yell.com/t_bigSquare,f_auto/f8fe9053-8044-4f46-b05d-21af5e57afea_image_jpeg.jpg"
Pizza Express,Pizzerias,3.0(1 Rating),"80-81 St. Martins Lane,  London",WC2N 4AA,020 7836 8001 ,pizzaexpress.com/st-martins-lane,"https://c.yell.com/t_bigRect,f_auto/f2bd44c1-903d-4605-bcc1-61787b0ad174_image_png.png"
Bella Italia,Italian Restaurants,3.0(1 Rating),"65 Strand,  London",WC2N 5LR,020 7839 3705 ,bellaitalia.co.uk,"https://c.yell.com/t_bigSquare,f_auto/d28768dc-8857-4820-a45f-1d929bfbdd05_image_jpeg.jpg"
Pepe,Pizza Delivery and Takeaway,No Rating,"57 St Martin's Lane, Charing Cross,  LONDON",WC2N 4EA,020 7379 7299 ,pepe-food.com,"https://c.yell.com/t_bigSquare,f_auto/b8497cb9-f3a2-4fce-bb22-6e8ca2828f2a_image_jpeg.jpg"
Pizza Hut,Pizzerias,No Rating,"19 Leicester Square,  London",WC2H 7LE,020 7930 9114 ,pizzahut.co.uk,"https://c.yell.com/t_bigSquare,f_auto/69467461-13a9-4435-a4b8-1449fae3385c_image_jpeg.jpg"
Fire & Stone,Pizzerias,3.4(22 Ratings),"31-32 Maiden Lane,  London",WC2E 7JS,020 7395 1960 ,fireandstone.com,"https://c.yell.com/t_bigSquare,f_auto/2a096f9e-c8f7-45ff-ada0-4b6c7bea13bc_image_jpeg.jpg"
Pizza Pilgrims,Pizzerias,No Rating,"23 Garrick St,  London",WC2E 9BN,020 7240 4145 ,pizzapilgrims.co.uk,"https://c.yell.com/t_bigSquare,f_auto/93319e5a-9ef4-4a24-84ba-97d1dfbdc731_image_jpeg.jpg"
Bella Italia,Italian Restaurants,No Rating,"22 Leicester Square,  London",WC2H 7LE,020 7321 0016 ,bellaitalia.co.uk,"https://c.yell.com/t_bigSquare,f_auto/87547684-22f6-4185-8232-72618a411589_image_jpeg.jpg"
Pizza Express,Pizzerias,No Rating,"43 Charing Cross Rd,  London",WC2H 0AP,020 7287 3322 ,pizzaexpress.com/leicester-square-charing-cross-road,"https://c.yell.com/t_bigRect,f_auto/9f5cc1e9-dd76-4f67-8d20-efdcb214d161_image_png.png"
Zizzi,Italian Restaurants,3.0(1 Rating),"73 The Strand,  London",WC2R 0DE,020 3302 2734 ,zizzi.co.uk/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Caffe Concerto,Italian Restaurants,4.5(2 Ratings),"50 Shaftesbury Avenue,  London",W1D 6LW,020 7494 6853 ,caffeconcerto.co.uk,"https://c.yell.com/t_bigSquare,f_auto/4f8a22e6-05bb-4908-a4d9-d80267ac872f_image_jpeg.jpg"
POLPO Covent Garden,Italian Restaurants,No Rating,"6 Maiden Lane,  London",WC2E 7NA,020 7836 8448 ,polpo.co.uk,"https://c.yell.com/t_bigRect,f_auto/80ccfb26-59b0-43a1-92ed-a6684f63c578_image_jpeg.jpg"
