Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Yew Tree Community Junior & Infant School (nc),Schools and Colleges,4.0(1 Rating),"Yew Tree Rd,  Birmingham",B6 6RX,0121 464 2967 ,yewtree.bham.sch.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Adderley Children's Centre,Playgroups and Pre-School,No Rating,"1 St Saviours Rd,  Birmingham",B8 1HN,0121 464 4183 ,addleyn.bham.sch.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Pioneers Academy,Independent Schools and Colleges,No Rating,"Sycamore Rd,  Birmingham",B6 5UH,0121 572 1447 ,thepioneersacademy.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Euphonious Faith Music School,Music Schools,5.0(2 Ratings),"88 Soho Rd,  Birmingham",B21 9DP,0121 515 3772 ,,"https://c.yell.com/t_bigSquare,f_auto/2eb7ac6f-7d32-4a72-b632-5f9e0dc54350_image_jpeg.jpg"
Chandos Primary,Schools and Colleges,No Rating,"Vaughton St South Highgate,  Birmingham",B12 0YN,0121 464 3881 ,chandosprimary.org,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Avicenna Academy,Independent Schools and Colleges,No Rating,"Sycamore Centre, Sycamore Rd,  Birmingham",B6 5UH,0121 328 1824 ,avicennaacademy.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Regents Park Community Primary School,Schools and Colleges,No Rating,"Arthur St,  Birmingham",B10 0NJ,0121 464 6746 ,rgntpark.bham.sch.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
James Brindley School,Special Needs Schools,No Rating,"Bell Barn Rd,  Birmingham",B15 2AF,0121 666 6409 ,jamesbrindley.org.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Flexible Learning Centre,Schools and Colleges,No Rating,"23 All Saints Rd,  Birmingham",B18 5QB,07806 828246 ,flexiblelearning.org.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Sunrise Kids,Nursery Schools,No Rating,"288 Camden Street,  Birmingham",B18 7PW,0121238 4067 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Early Start Childcare & Education Ltd,Day Nurseries,No Rating,"81 George St,  Birmingham",B19 1NS,0121 523 6032 ,,"https://c.yell.com/t_bigSquare,f_auto/b61a283c-de3e-4bac-98d7-182c371459cb_image_jpeg.jpg"
St Thomas Centre Nursery,Nursery Schools,No Rating,"Bell Barn Road,  Birmingham",B15 2AF,0121464 0003 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Kajans Hospitality & Catering Studio College - KHCSC,Secondary Schools,No Rating,"Whitehead Road,  BIRMINGHAM",B6 6EL,0121 331 4320 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
St Clement's Church of England Academy,Primary Schools,No Rating,"Butlin Street,  BIRMINGHAM",B7 5NS,0121 464 4652 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Sara Daycare,Playgroups and Pre-School,No Rating,"1 Regent Park Road,  Birmingham",B10 0QP,0121771 0405 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Edgbaston Kindergarten,Day Nurseries,5.0(2 Ratings),"413 Gillott Rd,  Birmingham",B16 9LL,0121 455 0883 ,kindergarten.co.uk,"https://c.yell.com/t_bigRect,f_auto/63d0c3ee-2254-48c6-8c86-81099a9bfdd2_image_jpeg.jpg"
The Theatre Workshop,Drama Schools,5.0(12 Ratings),"Harborne Academy Harborne Rd,  Birmingham",B15 3JL,07495 042428 ,thetheatreworkshop.com,"https://c.yell.com/t_bigRect,f_auto/0919740b-e940-4acb-98e9-c151484ae818_image_jpeg.jpg"
Birchfield Primary School,Schools and Colleges,No Rating,"Trinity Rd,  Birmingham",B6 6AJ,0121 464 5661 ,birchfld.bham.sch.uk,"https://c.yell.com/t_bigRect,f_auto/c7fd454a-a990-42c0-bbc8-3c19090fc95b_image_jpeg.jpg"
St Clement's Church Of England Academy,Schools and Colleges,No Rating,"Butlin St,  Birmingham",B7 5NS,0121 464 4652 ,stclemce.bham.sch.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Muath Trust,Schools and Colleges,No Rating,"The Bordesley Centre, Stratford Rd,  Birmingham",B11 1AR,0121 753 0297 ,muathtrust.org,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Know You. Be You.,Drama Schools,No Rating,"within Highgate Baptist Church, Conybere St,  Birmingham",B12 0YL,07738 759618 ,knowyoubeyou.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
George Street Community Nursery,Day Nurseries,No Rating,"2-6 George St,  Birmingham",B19 1NX,0121 523 2269 ,gscn.org.uk,"https://c.yell.com/t_bigRect,f_auto/741e09d6-4d12-431e-b246-8c9b1035ef04_image_jpeg.jpg"
Wyndcliffe Primary School,Schools and Colleges,No Rating,"Little Green Lane,  Birmingham",B9 5BG,0121 464 4241 ,wyndcliffe.bham.sch.uk/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Manor Park Primary Academy,Schools and Colleges,No Rating,"Church Lane,  Birmingham",B6 5UQ,0121 327 1023 ,manorpark.bham.sch.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
West House Nursery,Nursery Schools,No Rating,"23 & 24, St. James Rd,  Birmingham",B15 2NX,0121 661 9875 ,westhouseprep.co.uk,https://cdn.yell.com/cdn/yellapi/asset/vid-1447357584-29890/thumbnail
St Saviour's C Of E Primary School,Schools and Colleges,No Rating,"Alum Rock Rd,  Birmingham",B8 1JB,0121 464 6922 ,stsavioursceprimary.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Jellybean Nursery,Nursery Schools,No Rating,"Claremont Rd,  Birmingham",B18 5NJ,07794 224855 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Ark St Alban's Academy,Schools and Colleges,No Rating,"Conybere St,  Birmingham",B12 0YH,0121 446 1300 ,arkstalbans.org/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Birchfield Independent Girls' School,Schools and Colleges,No Rating,"30 Beacon Hill,  Birmingham",B6 6JU,0121 327 7707 ,bigs.bham.sch.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
St Edmund's Catholic Primary School,Schools and Colleges,No Rating,"Rosebery St,  Birmingham",B18 7PA,0121 523 7274 ,stedmund.bham.sch.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Aeysha's Play Nursery,Day Nurseries,No Rating,"St. Vincent Walk, Botany Walk,  Birmingham",B16 8ED,0121 454 5125 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Norton Hall Children & Family Centre,Independent Schools and Colleges,No Rating,"Ralph Rd,  Birmingham",B8 1NA,0121 328 3043 ,nortonhall.org.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Future First Independent School,Educational Services,No Rating,"Hockley Port,  Birmingham",B18 7RL,0121 551 4837 ,futurefirstschool.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Alnoor Nursery Ltd,Nursery Schools,No Rating,"43-45 Washwood Heath Rd,  Birmingham",B8 1RS,07450 238657 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Al Huda Girls' School,Independent Schools and Colleges,No Rating,"74-76 Washwood Heath Rd,  Birmingham",B8 1RD,07761 682193 ,al-hudagirlsschool.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Jakeman Nursery School,Nursery Schools,4.5(2 Ratings),"Jakeman Rd,  Birmingham",B12 9NX,0121 440 3066 ,jakeman.bham.sch.uk,"https://c.yell.com/t_bigSquare,f_auto/1fd5caca-4d02-42a9-a91c-928a368b7dcd_image_jpeg.jpg"
Jo Dwyer Singing Teacher,Singing Lessons,5.0(6 Ratings), ,,0121 356 2391 ,jodwyersingers.net,"https://c.yell.com/t_bigRect,f_auto/2bcdba5e-2190-43b3-b18f-92598df50aed_image_jpeg.jpg"
St John's & St Peter's C Of E Academy,Schools and Colleges,No Rating,"St Vincent St West,  Birmingham",B16 8RN,0121 675 1398 ,allsaintsmat.school,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Raw Talent Youth Theatre,Drama Schools,5.0(3 Ratings),"Unit 8, 14-20, George St,  Birmingham",B12 9RG,0121 440 8188 ,rawtalent.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Lillian de Lissa Nursery School,Nursery Schools,No Rating,"Bellevue,  Birmingham",B5 7LX,0121 675 3421 ,ldelissa.org.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Finch Road Centre,Nursery Schools,No Rating,"138 Finch Rd,  Birmingham",B19 1HN,0121 572 7578 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
City of Birmingham School,Schools and Colleges,No Rating,"The Link Centre, Small Heath,  BIRMINGHAM",B10 0QH,0121 303 0272 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
King Edward Vi Schools,Schools and Colleges,No Rating,"Trinity Rd,  Birmingham",B6 6LS,0121 554 4036 ,schoolsofkingedwardvi.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
EPS Tutorial Services,Tutoring,4.2(12 Ratings),"Old Limberlost House Butlers Rd,  Birmingham",B20 2NT,0121 241 7814 ,epstutorialservices.com/,"https://c.yell.com/t_bigRect,f_auto/542a1145-8be5-4d2d-a720-4d192b330c01_image_png.png"
Anglesey Primary School,Schools and Colleges,No Rating,"Anglesey Street,  Birmingham",B19 1RA,0121 464 4388 ,angleseysch-bham.co.uk/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
West House Nursery,Nursery Schools,No Rating,"23 St. James Rd,  Birmingham",B15 2NX,0121 440 2748 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Birmingham Theatre School,Drama Schools,No Rating,"The Old Fire Station, 285-287, Moseley Rd,  Birmingham",B12 0DX,0121 440 1665 ,birminghamtheatreschool.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Nechells Regeneration Project,Nursery Schools,No Rating,"Nechells Park Rd,  Birmingham",B7 5PD,0121 328 1759 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Kinder Palace Nursery,Nursery Schools,No Rating,"35 Wilson Rd,  Birmingham",B19 1LY,0121 551 9600 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Titan Tuition,Tutoring,No Rating,"12 Addison Rd,  Birmingham",B7 5LH,07950 251639 ,titantuition.com,"https://c.yell.com/t_bigRect,f_auto/c0beaa72-45c9-4b4f-aae4-853afe64fe75_image_png.png"
The Alyssa School,Special Needs Schools,No Rating,"69-85 Whitmore Rd,  Birmingham",B10 0NR,0121 773 4332 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
St George's School Edgbaston,Independent Schools and Colleges,No Rating,"31 Calthorpe Rd,  Birmingham",B15 1RX,0121 625 0398 ,sgse.co.uk,"https://c.yell.com/t_bigRect,f_auto/eb6ac930-7fa0-47df-92ee-0a1b94a0eb67_image_jpeg.jpg"
Bordesley Green Girls' School & Sixth Form,Secondary Schools,2.4(9 Ratings),"Bordesley Green Road,  BIRMINGHAM",B9 4TR,0121 464 1881 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Oasis Academy Woodview,Primary Schools,No Rating,"Woodview Drive,  BIRMINGHAM",B15 2HU,0121 440 4202 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Woodland College Ltd,Schools and Colleges,No Rating,"28a, Hamstead Rd,  Birmingham",B19 1DB,0845 2698065 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Percy Shurmer Academy,Schools and Colleges,No Rating,"Longmore St,  Birmingham",B12 9ED,0121 464 3431 ,percyshurmeracademy.org,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Apple Kids Day Nursery,Playgroups and Pre-School,No Rating,"25 Whitmore Road,  Birmingham",B10 0NR,0121753 5991 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Hamd House Nursery,Nursery Schools,No Rating,"72 Wright Rd,  Birmingham",B8 1NS,0121 328 5375 ,hamdhousenurseries.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Al-Hijrah School,Schools and Colleges,No Rating,"Burbidge Rd,  Birmingham",B9 4US,0121 773 7979 ,alhijrahschool.co.uk/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Bordesley Green Girls' School & Sixth Form,Educational Services,No Rating,"Bordesley Green Rd,  Birmingham",B9 4TR,0121 464 1881 ,bordgrng.bham.sch.uk/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Kinder Care Day Nursery,Playgroups and Pre-School,4.2(12 Ratings),"32 Richmond Rd,  Birmingham",B33 8SH,0121 789 7897 ,kindercarenursery.co.uk,"https://c.yell.com/t_bigRect,f_auto/2fcc5ae3-66b2-42c3-9c72-1436d4192d71_image_gif.gif"
Daffodils Nursery,Tutoring,5.0(2 Ratings),"58 Waterloo Rd,  Smethwick",B66 4JN,0121 533 2694 ,daffodilsnursery.co.uk/,"https://c.yell.com/t_bigSquare,f_auto/6f6b5d23-d7e9-4a82-9e99-51f84d507157_image_jpeg.jpg"
Midlands School of Philosophy,Further Education,No Rating,"third floor, 9-10, Frederick Rd,  Birmingham",B15 1JD,0121 330 1878 ,philosophymidlands.org,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Busy Bees in Edgbaston,Nursery Schools,No Rating,"54 St. James Rd,  Birmingham",B15 1JL,0121 456 4919 ,busybeeschildcare.co.uk/nursery/edgbaston,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Anyone Can Sing Vocal Academy,Drama Schools,No Rating,"Stage School Studio, Western Housen, Western Rd,  Birmingham",B18 7QD,07983 417736 ,anyone-can-sing-vocal-academy-birmingham.b4r-uk.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Ar-Risaalah Nursery,Nursery Schools,No Rating,"Basement 69-85 Whitmore Rd,  Birmingham",B10 0NR,07852 512474 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Rocking Horse Kindergarten,Day Nurseries,3.9(7 Ratings),"Bromford Rd,  Birmingham",B36 8EY,0121 783 6899 ,rockinghorsekindergarten.co.uk,"https://c.yell.com/t_bigRect,f_auto/e901c74c-93f7-4818-b27f-2972c764cffa_image_png.png"
Oakwood School (Biettec),Schools and Colleges,No Rating,"43-55 Whitmore Road,  BIRMINGHAM",B10 0NR,0121 248 1010 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Surestart Lime Tree Children's Centre,Nursery Schools,No Rating,"Heathfield Road,  Birmingham",B19 1HJ,01216 752530 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Hypnotherapy Training College,Training Courses,5.0(4 Ratings),"P.O Box 10500,  Birmingham",B14 4WB,0121 430 3336 ,lesserian.co.uk/,"https://c.yell.com/t_bigRect,f_auto/9d1b251a-24ef-4fca-a07f-94ac222fee4b_image_gif.gif"
Grove Community Project,Nursery Schools,5.0(2 Ratings),"21 Arthur Rd,  Birmingham",B21 9HY,0121 515 3864 ,grovecommunityproject.org.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Alyssa School,Schools and Colleges,No Rating,"Bibi House, 69-85 Whitmore Road,  BIRMINGHAM",B10 0NR,0121 773 4332 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Bertram Childrens Centre,Playgroups and Pre-School,No Rating,"6 Bertram Rd,  Birmingham",B10 9QP,0121 675 5259 ,,"https://c.yell.com/t_bigSquare,f_auto/cf95ec98-4492-4684-9f94-0f56e1ce7a43_image_png.png"
Proactively Learning Ltd,Tutoring,No Rating,"131 Soho Hill,  Birmingham",B19 1AT,07968 484832 ,proactivelylearning.co.uk,"https://c.yell.com/t_bigRect,f_auto/57d49e04-9141-4833-91ba-17786108acbd_image_png.png"
Small Heath Leadership Academy,Schools and Colleges,3.0(2 Ratings),"Muntz St,  Birmingham",B10 9RX,0121 464 7997 ,smallheathleadershipacademy.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Sareer Ltd,Nursery Schools,No Rating,"106 Sampson Rd,  Birmingham",B11 1LD,0121 753 2830 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Learning Base,Tutoring,5.0(23 Ratings),"215 High St,  Smethwick",B66 3AH,07914 005371 ,thelearningbase.com,"https://c.yell.com/t_bigRect,f_auto/10558dc1-c0d9-443a-9a32-c36b06de709a_image_png.png"
Sacred Heart Catholic School,Schools and Colleges,No Rating,"Earlsbury Gardens,  Birmingham",B20 3AE,0121 356 4721 ,sacredheart.bham.sch.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Handsworth Association of Schools,Educational Services,No Rating,"Trinity House, Birchfield School, Trinity Rd,  Birmingham",B6 6AJ,0121 464 7770 ,handsworth.bham.org.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Play House,Educational Services,No Rating,"Percy Shurmer Primary School, Longmore St,  Birmingham",B12 9ED,0121 464 5712 ,theplayhouse.org.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Jambi Daycare,Playgroups and Pre-School,No Rating,"411-421 Coventry Rd,  Birmingham",B10 0TH,07481 079394 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Nechells Primary E-Act Academy,Primary Schools,No Rating,"Eliot Street,  BIRMINGHAM",B7 5LB,0121 464 2102 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Leigh Primary School,Schools and Colleges,No Rating,"Leigh Rd,  Birmingham",B8 2YH,0121 464 2621 ,leighji.bham.sch.uk/,"https://c.yell.com/t_bigRect,f_auto/a56abd82-e872-43d5-ac9d-c27e3111cbf1_image_jpeg.jpg"
