Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Paul Edwards Personal Tutor,Tutoring,No Rating, Southport,,07962 115171 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Glenns Opticians,Dyslexia Centres and Support,5.0(3 Ratings),"89 Liverpool Rd,  Liverpool",L23 5TD,0151 924 4615 ,glennsopticians.co.uk,"https://c.yell.com/t_bigRect,f_auto/1ae026be-33bb-4c9a-9839-293ae3ea9d10_image_png.png"
Prelude School of Music,Music Schools,5.0(6 Ratings),"City Buildings, 21-23, Old Hall St,  Liverpool",L3 9BS,07414 471585 ,preludemusicliverpool.co.uk/,"https://c.yell.com/t_bigRect,f_auto/31a3d9f5-ee8c-49d2-9a01-93deab3bfbfa_image_jpeg.jpg"
Imagine English Language Academy,Schools and Colleges,No Rating,"Lombard Chambers Ormond St,  Liverpool",L3 9NA,0151 203 5880 ,imagineenglish.co.uk,"https://c.yell.com/t_bigRect,f_auto/ab315244-b5cc-42fb-a2b3-3dd6e5da4a0b_image_png.png"
Randstad Education Liverpool,Educational Services,No Rating,"third floor, Exchange Station, Tithebarn St,  Liverpool",L2 2QP,0151 255 1666 ,randstad.co.uk/education/about-us/offices/liverpool-teaching-jobs/72/,"https://c.yell.com/t_bigRect,f_auto/3cef89c5-9b07-40d7-bbd2-10cd9f585e67_image_jpeg.jpg"
Connex Education,Educational Services,No Rating,"31-33 Dale St,  Liverpool",L2 2HF,01274 721266 ,connex-education.com,"https://c.yell.com/t_bigRect,f_auto/818ebd6e-c3d4-44d8-bf96-5323bb65283f_image_png.png"
Pennine Tuition Services,Tutoring,No Rating,"1 Exchange Flags,  Liverpool",L2 3PF,0800 567 7759 ,Www.pennine.co,"https://c.yell.com/t_bigRect,f_auto/15849aa2-09f3-4695-aa87-f212ea91354a_image_jpeg.jpg"
Holy Cross Catholic Primary School,Schools and Colleges,No Rating,"Fontenoy St,  Liverpool",L3 2DU,0151 236 9505 ,holycrossliverpool.co.uk/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Interactive Collage,Independent Schools and Colleges,No Rating,"1st floor, Granite Buildings, 6, Stanley St,  Liverpool",L3 6AD,0151 236 8778 ,nordanglia.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Guaranteed Grades,Tutoring,No Rating,"The Reach, 39, Leeds St,  Liverpool",L3 2DA,0151 471 8924 ,guaranteedgrades.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Cavern Rock School,Tutoring,No Rating,"Cavern Club, 10, Mathew St,  Liverpool",L2 6RE,07905 006883 ,facebook.com/cavernrockschool,"https://c.yell.com/t_bigSquare,f_auto/21158844-7dba-4eaa-9f30-2b4e57e213b4_image_jpeg.jpg"
Holyrood Nursery Princes Dock,Day Nurseries,No Rating,"Unit 4 Princes Dock,  Liverpool",L3 1DL,0151 227 4345 ,holyrood-nursery-princesdock.co.uk,"https://c.yell.com/t_bigSquare,f_auto/1ee30743-61ef-4853-9970-ea947bcc035d_image_jpeg.jpg"
School of Pharmacy & Chemistry (Admissions),Universities,No Rating,"James Parsons Building Byrom St,  Liverpool",L3 3AF,0151 231 2364 ,ljmu.ac.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Bright Horizons Eldonians Day Nursery and Preschool,Nursery Schools,No Rating,"Burlington St,  Liverpool",L3 6LG,0370 218 8611 ,brighthorizons.co.uk/our-nurseries/eldonians-day-nursery-and-preschool,"https://c.yell.com/t_bigRect,f_auto/e4c92e7b-5aca-4487-a254-f6b9646d6c72_image_png.png"
Eldonians Day Nursery & Preschool,Nursery Schools,No Rating,"Burlington St, Goodmayes,  Liverpool",L3 6LG,0330 134 7112 ,brighthorizons.co.uk/our-nurseries/eldonians-day-nursery-and-preschool,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Harmony Casting,Drama Schools,5.0(2 Ratings),"85-87 Devon St,  Liverpool",L3 8HA,07824 358881 ,harmonycasting.co.uk/,"https://c.yell.com/t_bigRect,f_auto/1d105ca3-dcaf-4b03-9dce-b8e468da3746_image_png.png"
Sense of Sound Ltd,Music Schools,No Rating,"Bluecoat Chambers, School Lane,  Liverpool",L1 3BX,0151702 7799 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The Trinity Catholic Primary School,Schools and Colleges,No Rating,"Titchfield St, Vauxhall,  Liverpool",L5 8UT,0151 298 2917 ,thetrinityprimary.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Pagoda Nursery,Day Nurseries,5.0(2 Ratings),"Pagoda Chinese Community Youth Cent, Lydia Anne St,  Liverpool",L1 5BU,0151 709 8828 ,pagodanursery.co.uk,"https://c.yell.com/t_bigRect,f_auto/a1a319b9-9200-4866-a1b4-297f53696df8_image_jpeg.jpg"
Trust Education Solutions Ltd,Educational Services,No Rating,"Hanover House, 85, Hanover St,  Liverpool",L1 3DZ,0151 285 4272 ,tessupply.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Love2Teach - Liverpool,Tutoring,5.0(1 Rating),"4 Upper Duke St,  Liverpool",L1 9DU,0131 202 9126 ,love2teach.love/subject/our-cities/liverpool,"https://c.yell.com/t_bigRect,f_auto/72e2e980-d9f7-4517-a0ff-2989f3388331_image_png.png"
Dukes & Duchesses Private Day Nurse,Day Nurseries,5.0(1 Rating),"Dukes Terrace, Duke Street,  Liverpool",L1 4JS,0151 709 1186 ,dukesandduchesses.co.uk/,"https://c.yell.com/t_bigRect,f_auto/62de0729-7463-4467-8a33-724323391ae6_image_jpeg.jpg"
Pro Vox,Music Schools,No Rating,"68 Wood St,  Liverpool",L1 4DQ,07708 021327 ,pro-vox.net,"https://c.yell.com/t_bigSquare,f_auto/e2c313bd-e63a-4ed9-9bdd-9bbfd1bf0cd2_image_png.png"
The Liverpool Media Academy,Drama Schools,No Rating,"85-89 Duke Street,  Liverpool",L1 5AP,01519 227771 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Millstead School,Schools and Colleges,No Rating,"Iliad St,  Liverpool",L5 3LU,0151 207 4656 ,millsteadschoo.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Liverpool School of Tropical Medicine,Educational Services,No Rating,"Pembroke Place,  Liverpool",L3 5QA,0151 705 3100 ,lstmed.ac.uk,"https://c.yell.com/t_bigSquare,f_auto/95f119a7-4fc7-4d45-af4a-b4b616272a34_image_jpeg.jpg"
Dukes & Duchesses Day Nursery,Day Nurseries,No Rating,"1 Dukes Terrace Duke St,  Liverpool",L1 4JS,0151 709 1186 ,dukesandduchesses.co.uk,"https://c.yell.com/t_bigSquare,f_auto/d1a626cc-9f29-4867-a61b-63f1c18a9ee0_image_jpeg.jpg"
Pleasant Street Primary School,Schools and Colleges,No Rating,"Pleasant St,  Liverpool",L3 5TS,0151 709 3802 ,pleasantstreetprimary.co.uk/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
European Opera Centre (Trust),Music Schools,No Rating,"1 Haigh St,  Liverpool",L3 8QB,0151 291 3579 ,operaeurope.eu,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
The City of Liverpool College,Schools and Colleges,No Rating,"Duke St,  Liverpool",L1 4JR,0151 252 1515 ,liv-coll.ac.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
St Vincent De Paul Catholic Primary School,Schools and Colleges,No Rating,"Pitt St,  Liverpool",L1 5BY,0151 709 2572 ,stvincentdepaulprimary.co.uk/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
