Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Cambridge Home School,Tutoring,5.0(2 Ratings), ,,0800 6120439 ,,"https://c.yell.com/t_bigRect,f_auto/e641e30a-f335-48b3-8cce-081f2174647f_image_png.png"
Academy for International Science & Research,Educational Services,4.6(5 Ratings),"71 Clarendon St,  Londonderry",BT48 7ER,07759 831432 ,aisr.org.uk/,"https://c.yell.com/t_bigRect,f_auto/e31e88bc-8c02-420e-8924-6d21f3702e98_image_png.png"
Dumpton School,Independent Schools and Colleges,No Rating,"Deans Grove House,  Wimborne",BH21 7AF,01202 883818 ,dumpton.com,"https://c.yell.com/t_bigSquare,f_auto/949b5191-e0ba-4b2d-9b83-a553bcefa6a0_image_jpeg.jpg"
The Priory School,Independent Schools and Colleges,1.0(1 Rating),"Sir Harry's Rd,  Birmingham",B15 2UR,0121 440 4103 ,prioryschool.net/,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Westfield School,Independent Schools and Colleges,5.0(1 Rating),"Oakfield Rd,  Newcastle Upon Tyne",NE3 4HS,0191 255 3980 ,westfield.newcastle.sch.uk,"https://c.yell.com/t_bigRect,f_auto/366892b5-908e-4abe-8b87-03bc372b0f4b_image_jpeg.jpg"
Notre Dame Preparatory School (norwich) Ltd,Independent Schools and Colleges,No Rating,"147 Dereham Rd,  Norwich",NR2 3TA,01603 625593 ,notredameprepschool.co.uk/,"https://c.yell.com/t_bigRect,f_auto/2644d854-7e84-4101-a0f8-a1113d03b3cd_image_jpeg.jpg"
Park Hill School,Independent Schools and Colleges,No Rating,"8 Queen's Rd,  Kingston Upon Thames",KT2 7SH,020 3375 9355 ,parkhillschool.com,"https://c.yell.com/t_bigRect,f_auto/ca8d9c16-f53e-4e22-a030-328ddaa78098_image_png.png"
North London Tutorial College,Schools and Colleges,5.0(1 Rating),"87 Watford Way,  London",NW4 4RS,02080517308 ,nltcollege.co.uk,"https://c.yell.com/t_bigSquare,f_auto/243c6fad-adc0-4c6f-9171-b87d2ec2065b_image_jpeg.jpg"
Leicester College,Schools and Colleges,No Rating,"Freemen's Park Campus, Aylestone Rd,  Leicester",LE2 7LW,0116 224 2240 ,leicestercollege.ac.uk,"https://c.yell.com/t_bigRect,f_auto/3804db79-9f1b-4213-8380-b1b102013d23_image_jpeg.jpg"
Edgbaston High School for Girls,Schools and Colleges,3.0(1 Rating),"Westbourne Rd,  Birmingham",B15 3TS,0121 728 5404 ,edgbastonhigh.co.uk,"https://c.yell.com/t_bigSquare,f_auto/9853f8f6-5045-400a-ac9c-70abe690caa1_image_jpeg.jpg"
