Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Tesco Express,Grocers and Convenience Stores,4.0(2 Ratings),"Aston St, Aston University,  Birmingham",B4 7ES,0800 505555 ,tesco.com/store-locator/uk/,"https://c.yell.com/t_bigRect,f_auto/55e50fd1-d4be-457b-8b05-cbc7302c43dd_image_jpeg.jpg"
Tesco Express,Grocers and Convenience Stores,4.0(1 Rating),"Rsvp Bar, Old Square, Corporation St,  Birmingham",B4 6TB,0345 026 9379 ,tesco.com/store-locator/uk/,"https://c.yell.com/t_bigRect,f_auto/2ace394b-cc1d-4745-bb82-9606bd6e54ea_image_jpeg.jpg"
Tesco Express,Grocers and Convenience Stores,4.0(1 Rating),"8 Colmore Row,  Birmingham",B3 2QD,0345 675 7178 ,tesco.com/store-locator/uk/,"https://c.yell.com/t_bigRect,f_auto/0f956b94-372a-40c2-b75d-b4586ab5dd4e_image_jpeg.jpg"
The Grain Bakery Ltd,Cafes and Coffee Shops,5.0(1 Rating),"15 Proctor St,  Birmingham",B7 4ED,0121 4482212/07708 491150,thegrainbakery.co.uk,"https://c.yell.com/t_bigRect,f_auto/e8477032-0fab-4c8f-86b4-05d2210a1d30_image_png.png"
Isaac Charles Bridal House,Bridal Shops,5.0(5 Ratings),"Burlington Court, New Street,  West Midlands",B2 4JD,0121 661 3975 ,,"https://c.yell.com/t_bigRect,f_auto/45d007a6-3336-4847-897b-2fbcfabf654b_image_jpeg.jpg"
Kurt Geiger,Shoe Shops,No Rating,"Corporation Street,  BIRMINGHAM",B2 5JS,0844 800 3707 ,kurtgeiger.com,"https://c.yell.com/t_bigSquare,f_auto/ba123d60-7728-4692-962e-72f186a3da87_image_jpeg.jpg"
Caroline Jane,Bridal Shops,No Rating,"Corporation Street,  BIRMINGHAM",B2 5JS,0121 236 3333 ,carolinejanebridalwear.co.uk,"https://c.yell.com/t_bigSquare,f_auto/102caa6a-6ced-4d91-9138-dfd0aed9ee41_image_jpeg.jpg"
Phase Eight,Fashion Accessories,No Rating,"Corporation Street,  BIRMINGHAM",B2 5JS,0121 236 3333 ,phase-eight.com,"https://c.yell.com/t_bigSquare,f_auto/c5520bf8-e84b-464b-a643-bb2f919e96c3_image_jpeg.jpg"
Jane Norman,Fashion Accessories,No Rating,"Corporation Street,  BIRMINGHAM",B2 5JS,0121 212 2494 ,janenorman.co.uk,"https://c.yell.com/t_bigSquare,f_auto/2818ac22-7b0b-490c-8e41-f94159bf0424_image_jpeg.jpg"
Isaac Charles Bridal House,Bridal Shops,4.3(17 Ratings),"Burlington Court New St,  Birmingham",B2 4JD,0121 643 2914 ,isaaccharlesbridal.co.uk/,"https://c.yell.com/t_bigSquare,f_auto/f91cb42b-0e87-456d-b944-6bb58a918e4d_image_jpeg.jpg"
Snow + Rock Birmingham,Clothing Manufacturers and Wholesalers,No Rating,"14 The Priory Queensway,  Birmingham",B4 6BS,0121 796 2367 ,snowandrock.com/stores/birmingham.html,"https://c.yell.com/t_bigRect,f_auto/500192e3-fd5f-4385-a963-476f352ec8d9_image_jpeg.jpg"
Visual Evidence for Victims Project,Charity Shops,No Rating,"4 Newton St,  Birmingham",B4 6NE,0300 303 1977 ,vev.org.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Tesco Express,Grocers and Convenience Stores,4.0(1 Rating),"Carrs Lane,  Birmingham",B4 7SS,0345 610 2756 ,tesco.com/store-locator/uk/,"https://c.yell.com/t_bigRect,f_auto/a6ae60c5-5999-4386-9a64-f71ec907594e_image_jpeg.jpg"
Aldo,Shoe Shops,No Rating,"Corporation Street,  BIRMINGHAM",B2 5JS,,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Dune Shoes,Shoe Shops,No Rating,"Corporation Street,  BIRMINGHAM",B2 5JS,0844 800 3707 ,dune.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Bedeck,Bed Shops,No Rating,"Corporation Street,  BIRMINGHAM",B2 5JS,,bedeckhome.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Office Shoes,Shoe Shops,No Rating,"Corporation Street,  BIRMINGHAM",B2 5JS,0844 800 3707 ,office.co.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
New Look,Clothing Manufacturers and Wholesalers,5.0(1 Rating),"16-28 Corporation St,  Birmingham",B2 4RN,0121 634 1610 ,newlook.com/uk/store/Birmingham-City-Birmingham-GB-1989,"https://c.yell.com/t_bigRect,f_auto/e9e6893a-4fde-4f6e-aa58-04199b95fdcc_image_jpeg.jpg"
British Heart Foundation,Secondhand Furniture,No Rating,"98 Corporation Street,  Birmingham",B4 6SX,0121 728 7489 ,bhf.org.uk/about-us/find-bhf-near-you/birmingham-furniture-electrical-store,"https://c.yell.com/t_bigRect,f_auto/2493678f-4c84-4d65-9598-16a8ccc99f3b_image_png.png"
Cookshop Clearance Co,Cook Shops,No Rating,"Unit 4 Minories,  Birmingham",B4 6AG,0121 236 4293 ,facebook.com/cookshopclearance/,"https://c.yell.com/t_bigSquare,f_auto/f70d124b-9628-42c4-953c-5317d078d737_image_jpeg.jpg"
Isaac Charles Bridal House,Bridal Shops,5.0(3 Ratings),"Burlington Court, New Street,  West Midlands",B2 4JD,0121 661 8791 ,,"https://c.yell.com/t_bigRect,f_auto/6717133c-4779-4d7e-8448-940616281ba9_image_jpeg.jpg"
Funky Pigeon,Greeting Card Shops,5.0(1 Rating),"New Street,  BIRMINGHAM",B2 4ND,,funkypigeon.com,"https://c.yell.com/t_bigSquare,f_auto/5c39aa4c-e5b2-49dc-aabd-510206aafeae_image_jpeg.jpg"
B&M Store,Discount Stores,No Rating,"Priory Square Shopping Centre,  Birmingham",B4 7LL,0330 838 9391 ,bmstores.co.uk/stores/birmingham-queensway-391,"https://c.yell.com/t_bigRect,f_auto/83c917ae-1272-4b3c-9275-d6afa2177027_image_jpeg.jpg"
Directions,Specialist Clothes Shops,No Rating,"8 Dalton Way,  Birmingham",B4 7LD,0121 236 5365 ,,"https://c.yell.com/t_bigSquare,f_auto/a5d0b429-e761-4884-9f61-ff933b0c24ed_image_jpeg.jpg"
