Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Shop'N Drive,Grocers and Convenience Stores,No Rating,"25 Islington,  LIVERPOOL",L3 8PP,,rontec.com/retailers/shopn-drive,"https://c.yell.com/t_bigSquare,f_auto/a5919e7e-a169-4afa-bbb8-cbe2bee67fb2_image_jpeg.jpg"
"The Cake Shop Liverpool Ltd,",Wedding Cakes,No Rating,"Central Shopping Centre, Ranelagh St,  Liverpool",L1 1QE,0151 709 6074 ,cakeshopliverpool.co.uk,"https://c.yell.com/t_bigSquare,f_auto/65db790a-2129-4452-911d-c310af80ecef_image_jpeg.jpg"
Sainsbury's Local,Grocers and Convenience Stores,No Rating,"11 Lyceum Place Ranelagh St,  Liverpool",L1 1QE,0151 703 0923 ,sainsburys.co.uk,"https://c.yell.com/t_bigSquare,f_auto/a1edc8ef-5b08-4dd7-a54c-cd4b76dc1419_image_jpeg.jpg"
New Look,Clothing Manufacturers and Wholesalers,No Rating,"9 Williams Square,  Liverpool",L1 1EQ,0151 702 5310 ,newlook.com/uk/store/Liverpool-Liverpool-GB-1649,"https://c.yell.com/t_bigRect,f_auto/8f0ee4d1-d748-4423-944e-ebd6a504f4e1_image_jpeg.jpg"
House of Charles,Hat Shops and Milliners,No Rating,"21 Stafford St,  Liverpool",L3 8LX,07816 231772 ,houseofcharles.co.uk/,"https://c.yell.com/t_bigRect,f_auto/7939e04a-e52f-4794-8c65-b7cac3899df1_image_png.png"
Tesco Express,Grocers and Convenience Stores,No Rating,"91-93 London Rd,  Liverpool",L3 8JA,0345 671 9493 ,tesco.com/store-locator/uk/,"https://c.yell.com/t_bigRect,f_auto/c6e83b2f-1411-4096-bd4c-7907354ef324_image_jpeg.jpg"
British Red Cross Shop,Charity Shops,No Rating,"36 Renshaw St,  Liverpool",L1 4EF,0151 707 1074 ,redcross.org.uk,"https://c.yell.com/t_bigSquare,f_auto/064815e6-7c22-4fb5-8c5d-8ab8b617974a_image_jpeg.jpg"
GreyCherry Shoes,Shoe Shops,No Rating,"Lyceum Place, Ranelagh St,  Liverpool",L1 1QE,07547 027748 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Size,Shoe Shops,No Rating,"59 Bold St,  Liverpool",L1 4EZ,0151 707 8813 ,stores.size.co.uk/united-kingdom/liverpool/59-bold-street,"https://c.yell.com/t_bigSquare,f_auto/0da79fbc-c2ba-4550-8367-0fb0cafe6396_image_jpeg.jpg"
Phase Eight,Fashion Accessories,No Rating,"70 South John Street,  LIVERPOOL",L1 8BJ,0151 709 7070 ,phase-eight.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Melos,Grocers and Convenience Stores,No Rating, ,,0151 271 2784 ,melos-mart.co.uk/,"https://c.yell.com/t_bigSquare,f_auto/f2fee3a5-fac9-43ac-a1b3-7574d64f8a73_image_jpeg.jpg"
1847Even,New Age and Ethnic Shops,No Rating,"16 Newington, Chinatown,  LIVERPOOL",L1 4ED,0151 709 8058 ,,"https://c.yell.com/t_bigSquare,f_auto/cc10854f-798c-4326-81f8-6bb7b37f447b_image_jpeg.jpg"
Oxfam Original,Charity Shops,1.0(1 Rating),"37 Bold St,  Liverpool",L1 4DN,0151 709 6739 ,oxfam.org.uk/shop,"https://c.yell.com/t_bigSquare,f_auto/8f74fff5-8e73-400a-b1a1-8ff981cd323e_image_jpeg.jpg"
Tesco Express,Grocers and Convenience Stores,No Rating,"Roscoe House Mount Pleasant,  Liverpool",L3 5RY,0345 671 9310 ,tesco.com/store-locator/uk/,"https://c.yell.com/t_bigRect,f_auto/10aa9ac3-2f52-46eb-8583-251b1dfbce08_image_jpeg.jpg"
Little Red Vintage,Specialist Clothes Shops,No Rating,"74 Bold St,  Liverpool",L1 4HR,0151 703 6872 ,littleredvintage.co.uk,"https://c.yell.com/t_bigSquare,f_auto/2b29f9d7-0795-4b16-8f29-516b5d299947_image_jpeg.jpg"
John E Monk,Bridal Shops,3.3(9 Ratings),"39 Pembroke Place,  Liverpool",L3 5PH,0151 709 9227 ,johnemonk.co.uk,"https://c.yell.com/t_bigRect,f_auto/f4d8c37a-e00d-47d1-a555-e81820deb236_image_jpeg.jpg"
Foot Asylum,Shoe Shops,No Rating,"46 Bold St,  Liverpool",L1 4DS,0151 709 1441 ,footasylum.com,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
