Name,Category,Rating,Address,Post Code,Phone Number,Website,Image
Next,Clothing Manufacturers and Wholesalers,No Rating,"11 The Strand,  London",WC2N 5HR,0333 005 5197 ,next.co.uk/stores/,"https://c.yell.com/t_bigRect,f_auto/7b8c8ae6-0aa6-4ac1-86ea-d7ef1235ece0_image_jpeg.jpg"
PAUL Strand Kiosk,Bakeries,No Rating,"11 The Strand,  London",WC2N 5HR,020 7839 5370 ,paul-uk.com/find-a-paul/french-bakery-cafe-london/strand-kiosk,"https://c.yell.com/t_bigSquare,f_auto/cacc3ffb-5107-4fa2-ad8f-bd268d7fa584_image_jpeg.jpg"
Metal Gods,Specialist Clothes Shops,No Rating,"1257 Trafalgar Square,  London",WC2N 5DU,0800 567465 ,metal-gods.myshopify.com,"https://c.yell.com/t_bigSquare,f_auto/3693d0bf-59c2-4320-8c3e-329514bfb122_image_png.png"
M & S Simply Food,Supermarkets,No Rating,"Main Station Entrance Charing Cross, London,  London",WC2N 5HS,020 7925 2451 ,marksandspencer.com,"https://c.yell.com/t_bigRect,f_auto/5dd4407c-4d33-4236-b7f5-dca07d617fd8_image_jpeg.jpg"
the-Bias-Cut.com,Women's Clothes,No Rating,"P.O Box 73605,  London",SE13 9DZ,020 3488 2452 ,the-bias-cut.com,"https://c.yell.com/t_bigRect,f_auto/792faccc-3cf6-4b0d-9fdc-e8318a0738c3_image_png.png"
Tesco Express,Grocers and Convenience Stores,No Rating,"1-4 Charing Cross,  London",SW1A 2DR,0345 026 9353 ,tesco.com/store-locator/uk/,"https://c.yell.com/t_bigRect,f_auto/1e46396a-f285-48c8-af81-fd3d83af6af5_image_jpeg.jpg"
Twisted Lingerie,Lingerie,No Rating,"P.O Box 73757,  London",WC1A 9NG,020 7713 0348 ,twistedlingerie.co.uk,"https://c.yell.com/t_bigRect,f_auto/623d2af4-8ecd-4411-a2c2-daa6a1a4844d_image_png.png"
Baby Martins (BM) Ltd,Children's and Babies' Clothes Shops,No Rating,"30 St. Martin's Lane,  London",WC2N 4ER,020 7490 2352 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Women Dresses,Women's Clothes,No Rating,"Trafalgar Square,  London",WC2N 5DU,020 7946 0694 ,redophelia.com,"https://c.yell.com/t_bigRect,f_auto/aecc5b68-9716-46a4-b205-45a53285665d_image_jpeg.jpg"
The Shop At Bluebird,Department Stores,5.0(1 Rating),"29 Floral St,  London",WC2E 9DP,020 7351 3873 ,theshopatbluebird.com,"https://c.yell.com/t_bigSquare,f_auto/0042ee25-c566-4ea7-be8b-08e87273f0f9_image_jpeg.jpg"
Barnardo's Shops,Charity Shops,No Rating,"London House Ancaster Square,  Llanrwst",LL26 0LD,01492 642751 ,barnardos.org.uk,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Ransavers at The Arches,New Age and Ethnic Shops,No Rating,"3 The Arches, Villiers St,  London",WC2N 6NG,020 7839 6415 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Any Amount of Books,Rare and Secondhand Books,4.5(2 Ratings),"56 Charing Cross Rd,  London",WC2H 0QA,020 7836 3697 ,anyamountofbooks.com,"https://c.yell.com/t_bigSquare,f_auto/f78efe80-6e28-4908-a245-912400966b2a_image_jpeg.jpg"
Globalwedding,Bridal Shops,No Rating,"Trafalgar Square,  London",WC2N 5DU,07724 277608 ,globalwedding.co,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Centre Front,Men's Clothes,No Rating,"Malaysia House, 57, Trafalgar Square,  London",WC2N 5DU,0330 223 3891 ,centre-front.com/,"https://c.yell.com/t_bigSquare,f_auto/e1ea3c67-e29c-4533-8e16-0c817a6c8c4d_image_jpeg.jpg"
Topman,Clothing Manufacturers and Wholesalers,No Rating,"within Topshop, 60/64, Strand,  London",WC2N 5LR,020 7839 4144 ,stores.topman.com/london/60/64-the-strand,"https://c.yell.com/t_bigRect,f_auto/5452e193-8365-4b33-848e-1a53e63e58f7_image_jpeg.jpg"
The Whisky Exchange Shop,"Wine, Beer, Spirit and Cider Suppliers",No Rating,"2 Bedford St,  London",WC2E 9HH,020 7403 8688 ,thewhiskyexchange.com/Vinopolis.aspx,"https://c.yell.com/t_bigRect,f_auto/38794784-03df-44fa-9a4a-ab84a25d60f1_image_jpeg.jpg"
Cards Galore,Greeting Card Shops,No Rating,"40 Villiers Street, Charing Cross,  LONDON",WC2N 6NJ,020 7240 3176 ,cardsgalore.co.uk,"https://c.yell.com/t_bigSquare,f_auto/5258fde7-c987-4205-84ee-436fb69e5707_image_jpeg.jpg"
Topshop,Clothing Manufacturers and Wholesalers,No Rating,"60/64 The Strand, Strand,  London",WC2N 5LR,020 7839 4144 ,stores.topshop.com/london/60/64-the-strand,"https://c.yell.com/t_bigRect,f_auto/2c6b21e1-bc45-47e4-9494-b4dacea75f43_image_jpeg.jpg"
Back to the Wall,Greeting Card Shops,5.0(1 Rating),"1 Tavistock Court, The Piazza,  London",WC2E 8BD,020 7836 4519 ,,https://yell.com/searchfe/yframe/yelldotcom/default/_yframe/min/images/yell-dummy.png
Laird Hatters,Hat Shops and Milliners,No Rating,"23-23a New Row,  London",WC2N 4LA,020 3713 9692 ,lairdlondon.co.uk,"https://c.yell.com/t_bigSquare,f_auto/a45fa493-54ad-4857-a63a-4e58b2cf2c61_image_jpeg.jpg"
Tesco Metro,Grocers and Convenience Stores,No Rating,"22-25 Bedford St Covent Garden,  London",WC2E 9EQ,0345 677 9173 ,tesco.com/store-locator/uk/,"https://c.yell.com/t_bigRect,f_auto/0d86b4c4-5f55-4d95-9591-f404ba8049a9_image_jpeg.jpg"
Jones Bootmaker,Shoe Shops,No Rating,"16 New Row,  London",WC2N 4LA,0845 6028144 ,jonesbootmaker.com,"https://c.yell.com/t_bigSquare,f_auto/96ff1099-a21f-4f2e-91de-82d3445c7c46_image_jpeg.jpg"
